;trump;people;president;great;united;states;new;american;democrats;house;national;federal;news;party;obama;republican;working;fbi;man;government;country;white;administration;state;america;thank;china;court;department;love;york;donald;hard;investigation;best;help;fact;police;media;washington;work;big;article;thing;support;fake;congress;world;senate;trying;russia;proud;times;democrat;official;good;bill;act;former;information;week;post;city;may;believe;called;campaign;history;night;law;released;2016;announced;year;video;family;stop;supreme;security;republicans;war;clinton;economy;california;hillary;left;job;political;attack;shooting;justice;monday;election;everyone;together;story;committee;vote;trade;use
trump;0;20;86;20;10;8;24;18;6;16;12;4;20;8;12;14;4;20;8;2;2;16;12;0;6;4;8;4;6;4;12;44;6;10;4;6;12;2;6;14;6;4;2;6;0;4;2;2;2;8;16;0;12;4;4;4;4;4;6;0;6;8;4;10;4;2;18;2;4;8;2;6;4;4;2;0;4;2;2;2;0;10;2;2;12;10;4;8;2;2;8;6;8;0;2;4;4;2;2;2
people;0;0;12;20;14;14;14;56;12;4;2;10;4;6;4;10;12;6;6;16;16;8;8;2;2;10;4;4;0;4;10;12;6;2;6;6;6;4;10;6;8;8;0;4;6;2;2;8;4;10;4;2;8;6;2;2;2;0;2;2;2;0;4;0;2;4;2;4;4;0;2;8;0;6;4;2;4;4;4;6;2;0;4;2;0;4;4;4;2;6;4;0;6;6;4;0;2;4;2;4
president;0;0;0;14;20;20;6;14;10;14;10;8;14;4;22;8;2;10;6;2;6;12;10;2;6;6;6;6;2;2;4;16;10;8;6;2;6;2;10;8;4;2;2;6;2;8;8;0;6;8;6;2;4;6;6;2;4;10;6;2;8;4;0;8;6;8;6;10;0;10;2;2;4;2;2;0;4;2;2;6;2;8;2;2;6;8;10;8;2;4;4;8;8;0;4;4;2;2;4;0
great;0;0;0;0;10;10;10;24;12;8;4;2;14;2;4;4;6;8;6;2;14;4;2;4;10;12;10;0;2;2;0;4;4;2;8;2;0;0;10;0;4;4;2;6;6;4;6;4;4;4;0;2;0;2;2;6;4;2;2;4;6;0;4;4;6;0;0;0;0;0;2;2;0;4;4;6;4;2;2;2;2;4;6;0;4;10;6;2;2;0;2;4;4;4;2;0;2;2;4;0
united;0;0;0;0;0;126;6;6;10;12;14;4;2;2;8;4;4;0;2;2;10;10;10;2;16;6;8;6;8;2;2;2;4;4;0;2;6;2;0;4;0;4;4;4;6;0;4;6;8;4;2;6;2;0;0;4;2;4;0;2;0;2;4;6;4;8;0;4;4;6;4;0;10;0;0;2;8;6;12;2;4;0;0;0;0;6;0;4;8;0;4;2;2;6;4;4;0;4;4;6
states;0;0;0;0;0;0;6;6;8;14;12;4;2;2;8;4;4;0;4;2;10;10;12;2;16;6;8;10;6;2;2;2;4;4;0;4;6;2;0;2;0;4;6;4;6;0;8;6;6;6;2;6;2;0;0;4;4;8;0;2;0;2;4;4;4;6;0;4;4;6;4;0;8;0;0;2;8;10;10;4;4;0;0;0;0;6;0;4;8;0;6;2;2;6;4;2;0;4;4;6
new;0;0;0;0;0;0;0;12;2;2;12;0;4;6;8;6;2;4;0;4;2;2;8;12;4;0;2;0;0;4;44;8;0;0;4;6;4;0;4;2;0;2;10;2;0;0;0;4;0;2;4;0;36;6;2;2;4;0;6;2;4;6;2;2;2;0;6;0;0;0;2;4;0;4;6;4;2;0;4;2;2;8;4;2;8;0;2;0;2;0;2;2;4;2;0;2;4;4;0;0
american;0;0;0;0;0;0;0;0;16;4;4;10;10;8;8;6;14;2;6;8;8;2;6;0;0;10;2;2;0;2;6;6;4;0;4;4;2;2;10;2;2;6;2;4;4;8;2;4;6;8;4;4;6;4;0;4;0;4;0;4;2;2;0;4;2;0;0;6;2;0;2;4;0;2;4;2;2;2;4;6;2;0;2;0;0;4;2;4;2;6;0;0;4;2;0;0;2;4;4;2
democrats;0;0;0;0;0;0;0;0;0;14;2;2;4;14;8;8;8;0;2;2;4;4;2;2;4;10;0;0;2;0;2;0;2;2;6;4;10;0;2;2;2;6;0;4;0;4;8;4;6;8;0;2;2;6;2;4;0;0;0;0;4;0;2;0;0;2;0;2;0;0;0;0;4;2;0;0;4;0;2;10;2;0;2;0;0;8;0;2;0;0;2;0;4;0;2;2;0;8;4;0
house;0;0;0;0;0;0;0;0;0;0;10;2;4;6;2;6;4;4;0;2;0;44;0;2;6;4;0;0;4;0;2;4;0;6;8;12;4;0;2;6;2;0;2;2;0;2;6;0;6;2;4;2;2;2;0;2;6;6;8;2;2;2;2;4;2;2;0;4;2;2;2;2;2;6;0;0;2;0;6;8;0;4;0;0;2;2;0;2;0;0;0;8;6;0;2;0;10;0;2;6
