;#covid19;home;stay;pennsylvania;businesses;help;spread;health;pennsylvanians;order;counties;latest;close;information;resources;stop;nonlifesustaining;vote;@pahealthdept;coronavirus;lives;pa;guidance;save;thank;workers;montgomery;work;care;travel;students;safe;sign;efforts;cases;mental;residents;taking;nonessential;business;new;part;ballot;commonwealth;may;staying;primary;delaware;debt;election;responders;protect;county;mail;essential;schools;state;facilities;across;everyone;safety;8;employees;together;physical;bucks;include;actions;paians;chester;april;lifesustaining;use;begin;scholarship;voters;people;updates;locations;mitigation;bly;avoid;nellie;closed;call;reach;registered;enforcement;working;graduate;crisis;funding;ordered;family;announced;life;hands;community;continue;register
#covid19;0;34;26;28;24;24;40;22;34;14;20;28;16;18;14;22;10;2;24;24;18;8;18;14;14;6;14;12;10;12;0;12;2;16;12;0;4;14;12;6;8;12;0;8;4;10;2;10;0;2;12;12;12;2;6;6;8;8;4;8;4;4;6;10;6;8;6;6;8;8;2;2;6;6;0;0;6;4;6;8;0;8;0;6;8;4;0;4;6;0;4;6;0;8;8;2;10;6;6;2
home;0;0;54;4;4;6;14;6;10;24;26;4;2;8;0;8;0;2;2;4;10;4;4;6;4;0;6;8;0;8;0;8;2;2;0;0;12;6;2;0;2;4;2;0;2;14;2;6;0;2;0;2;2;2;6;2;0;0;0;4;4;4;0;8;0;6;6;2;2;6;4;4;0;0;0;0;6;2;0;2;0;4;0;4;2;0;0;0;0;0;0;0;4;4;0;4;8;0;2;0
stay;0;0;0;6;6;10;14;8;12;22;24;4;2;6;0;6;0;2;2;4;10;2;4;4;4;2;8;10;2;6;0;10;2;2;0;0;10;0;2;0;2;2;0;2;2;2;2;6;0;2;0;0;2;2;8;2;0;2;2;2;6;4;0;4;0;6;6;2;2;6;4;4;0;0;0;0;4;2;0;2;0;2;0;4;2;0;0;0;0;0;0;0;4;0;0;4;4;0;4;2
pennsylvania;0;0;0;0;14;4;12;10;14;6;6;12;8;10;8;6;8;8;4;8;0;2;8;2;6;2;4;0;2;0;2;2;8;0;8;4;2;2;0;6;4;2;8;8;4;0;6;2;0;6;0;2;2;8;0;4;4;2;8;2;2;0;2;2;4;0;0;4;0;0;4;4;0;4;2;6;4;4;4;0;2;0;2;2;4;0;6;2;0;0;0;2;4;0;2;0;0;0;0;2
businesses;0;0;0;0;0;6;14;6;2;14;0;6;20;0;4;8;22;0;0;0;4;2;8;2;4;0;0;8;0;0;0;2;0;2;0;0;0;4;4;6;2;4;0;2;0;0;0;0;0;0;4;2;2;0;6;0;0;0;2;0;2;6;4;2;10;0;4;10;0;0;0;10;2;12;0;0;0;0;10;0;0;0;0;4;2;0;0;8;0;0;2;2;6;0;0;0;0;2;2;0
help;0;0;0;0;0;0;16;10;6;2;2;2;0;2;6;10;2;2;0;6;6;8;4;6;4;4;0;2;6;0;8;4;2;4;2;4;0;0;0;2;6;2;0;4;2;0;2;0;4;2;8;0;0;2;2;0;0;0;4;2;0;0;2;0;0;0;0;0;4;0;0;0;6;0;6;0;0;0;0;0;6;2;6;0;4;4;0;0;0;6;6;6;0;0;2;0;0;4;2;2
spread;0;0;0;0;0;0;0;2;8;6;4;10;8;4;6;28;8;4;4;10;8;2;10;6;8;2;2;6;0;4;0;6;4;6;0;0;2;6;4;4;2;8;2;4;4;4;4;2;0;4;2;0;2;4;0;0;0;0;2;4;2;2;2;6;4;0;2;2;0;0;0;0;2;2;0;0;2;2;4;2;0;4;0;0;2;0;0;2;0;0;2;0;0;2;2;2;2;4;2;4
health;0;0;0;0;0;0;0;0;6;4;2;4;0;2;4;2;0;0;0;4;6;6;4;4;6;6;2;6;12;2;0;0;0;0;4;8;2;2;0;0;0;2;0;2;0;2;0;0;2;0;8;4;4;0;8;0;2;2;2;2;6;0;2;0;2;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;2;0;0;2;4;0;0;4;0;0;2;0;2;2;2;2;2;2;0
pennsylvanians;0;0;0;0;0;0;0;0;0;4;6;10;0;4;6;6;0;4;12;10;6;2;6;2;4;0;6;0;2;4;0;10;4;8;8;0;4;4;0;0;4;2;2;2;4;2;4;4;0;4;0;2;4;4;0;0;2;2;0;2;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;2;2;2;0;0;2;2
order;0;0;0;0;0;0;0;0;0;0;18;4;10;2;0;4;12;0;0;2;4;4;0;2;0;0;2;4;0;4;0;0;0;2;0;0;8;0;0;2;2;0;0;0;2;4;0;4;0;0;0;0;2;0;6;2;0;0;2;0;4;4;0;0;6;4;8;6;0;4;4;10;0;6;0;0;2;2;6;2;0;0;0;4;0;0;0;6;0;0;0;0;6;0;0;2;0;0;0;0
counties;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;2;0;0;4;0;6;4;2;4;0;0;12;2;4;10;0;0;0;6;0;0;14;0;4;2;2;0;0;2;2;4;0;12;0;0;0;2;0;0;4;2;2;6;0;0;2;4;2;0;0;12;6;0;0;12;2;2;0;0;0;0;2;2;0;6;0;0;0;4;0;0;0;0;0;0;0;0;4;0;4;4;0;2;2;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;6;12;2;8;0;0;16;12;2;2;10;0;6;0;6;0;0;2;0;4;0;6;4;0;2;4;2;2;2;4;0;4;0;2;0;6;0;0;0;6;2;0;0;2;4;0;0;2;2;0;4;0;0;4;2;0;0;4;2;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0
close;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;16;0;4;0;0;2;4;0;2;0;2;0;2;4;0;0;0;0;0;0;2;2;8;6;0;2;0;0;0;0;0;2;0;0;0;4;0;0;2;0;0;4;2;2;0;4;2;0;8;4;4;12;2;4;0;6;2;10;0;0;2;2;8;2;0;2;0;4;2;0;0;6;2;0;0;0;6;0;0;0;2;2;0;0
