;new;united;states;great;president;york;trump;people;story;state;man;obama;american;article;times;city;told;truth;may;court;governor;love;national;bill;federal;police;news;called;fact;donald;republican;supreme;security;campaign;came;congressman;youthank;good;administration;america;named;reporter;department;party;everyone;accused;sequel;lives;government;year;media;rates;finally;law;night;chris;asking;@foxnews;use;nothing;john;european;v;praise;week;isnt;wants;press;tell;proud;saying;production;world;fake;review;million;dangerous;full;help;high;house;justice;country;march;white;nfl;democratic;announced;quest;anything;spoke;supporter;elected;paul;history;monday;thugs;transgender;ensure;usa
new;0;2;2;2;0;18;4;0;0;2;2;0;2;0;8;4;0;2;0;0;2;2;0;2;2;0;0;4;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;4;2;2;0;4;0;0;2;0;0;2;0;2;2;0;2;2
united;0;0;24;0;4;2;0;6;2;0;2;0;2;2;0;0;2;2;0;2;0;0;2;0;2;0;4;2;2;0;0;2;2;0;0;0;0;2;0;4;0;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0;0;0;2;4;0;0;4;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
states;0;0;0;2;4;2;2;4;2;2;2;0;0;2;0;0;0;2;2;4;0;0;4;0;2;2;4;4;2;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;2;2;0;2;2;2;2;0;0;2;2;0;0;0;2;4;0;2;4;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;2;4;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;4;2;4;2;2;4;2;0;2;2;0;0;0;2;2;0;6;4;2;0;0;0;2;0;4;0;2;0;0;2;0;0;2;4;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;2;0;0
president;0;0;0;0;0;0;2;4;2;2;2;4;0;0;0;0;0;2;0;0;2;2;0;0;0;0;4;0;4;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
york;0;0;0;0;0;0;4;0;0;2;0;0;2;0;8;4;0;2;0;0;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;2;2
trump;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;0;0;0;0;2;0;0;2;2;2;0;2;2;0;6;2;0;0;4;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;2;0;4;0;4;0;0;0;4;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
story;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;8;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0
