;president;trump;new;states;people;united;great;house;news;white;federal;american;republican;government;york;media;world;party;national;fake;thank;democrats;state;love;russian;story;history;called;election;country;obama;senate;help;attack;police;campaign;article;work;man;thursday;donald;presidential;department;twitter;court;washington;china;bill;texas;complete;win;2016;political;iran;administration;good;supreme;big;committee;bad;order;bernie;pay;part;senator;least;sanders;military;tuesday;security;working;year;source;economy;executive;another;law;fbi;trumps;city;nothing;official;second;war;major;times;says;russia;best;announce;job;could;justice;trying;billion;left;december;shooting;thing;still
president;0;36;10;16;12;18;8;12;10;14;4;2;4;4;10;6;4;2;2;8;4;0;4;4;6;2;8;0;4;4;2;2;0;6;0;4;0;2;2;0;12;4;0;2;0;2;0;2;2;2;0;0;2;4;0;2;0;4;2;4;10;2;0;2;0;0;2;8;2;0;2;4;0;2;8;0;2;2;12;4;2;0;4;2;0;2;6;6;2;0;0;2;0;0;2;4;4;0;0;0
trump;0;0;14;4;0;4;4;8;12;8;2;2;4;2;10;6;4;4;2;10;4;4;2;2;4;6;4;4;2;0;0;2;4;4;0;12;2;2;2;4;12;2;0;6;0;6;2;0;2;4;0;0;4;2;6;2;0;4;2;0;8;0;0;0;0;0;0;4;4;0;2;4;2;0;4;0;0;2;2;4;6;0;2;0;0;4;6;2;4;0;0;0;0;0;0;6;4;0;2;0
new;0;0;0;2;12;2;4;10;6;8;6;6;4;2;32;0;0;2;2;2;0;2;10;2;0;6;2;4;0;2;0;0;2;6;2;2;6;2;2;2;4;0;4;0;2;4;2;2;6;6;0;0;2;0;2;4;2;4;0;2;2;0;0;0;2;4;0;2;6;2;0;0;2;0;2;0;2;2;0;8;0;2;2;0;0;14;6;0;0;6;2;0;4;2;4;0;2;2;2;0
states;0;0;0;0;2;56;8;8;2;4;4;4;2;2;0;0;4;0;4;0;2;0;2;2;0;0;0;6;0;10;4;2;2;2;2;0;2;2;0;4;0;0;0;0;6;2;4;6;6;0;2;0;0;6;4;4;6;2;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;2;0;2;2;4;2;0;2;0;0;2;0;2;0;2;2;0;0;0;2;0
people;0;0;0;0;0;4;8;12;4;8;6;16;2;4;8;2;2;0;4;2;2;0;4;0;2;0;2;2;4;0;6;4;4;0;2;0;2;0;2;2;0;0;0;0;4;0;2;0;4;4;2;0;4;2;2;2;4;2;2;0;0;0;4;0;2;8;0;4;4;0;2;2;0;0;0;2;4;2;0;4;0;0;0;2;2;2;2;2;2;4;0;4;0;2;2;2;0;2;0;0
united;0;0;0;0;0;0;8;8;2;6;4;4;2;2;0;0;4;0;4;0;2;0;2;2;0;0;0;2;0;8;4;0;2;2;0;0;2;4;0;0;0;0;0;0;2;2;4;4;6;0;2;0;0;6;4;4;2;2;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;2;0;0;2;0;2;2;4;2;0;2;0;0;2;0;2;0;2;0;0;2;0;2;0
great;0;0;0;0;0;0;0;6;8;6;2;6;4;2;4;2;0;0;4;0;4;0;6;8;0;6;4;4;0;6;0;2;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;6;0;2;2;2;0;0;0;2;0;0;0;0;0;2;0;0;4;0;2;4;2;0;2;2;0;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;6;34;4;6;2;2;6;2;2;0;0;2;6;8;0;2;2;4;2;0;2;0;6;6;0;0;0;0;0;0;0;2;2;2;0;0;0;2;2;6;0;0;2;2;0;2;4;2;0;0;4;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;4;2;4;0;2;0;0;2;2;4;0;4;0;0;2;0;2;0;4;2;2;4;2
news;0;0;0;0;0;0;0;0;0;6;2;2;2;2;4;14;6;4;4;18;6;0;2;4;0;4;4;0;2;0;0;0;2;0;2;0;2;0;0;0;2;2;0;4;0;4;0;0;2;2;2;0;0;2;2;0;0;2;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;2;2;2;0;0;0;2;4;0;0;0;0;0;2;0;2;0;4;0;0;4;0;4;0;2;0;2
white;0;0;0;0;0;0;0;0;0;0;2;2;4;0;4;2;2;2;0;2;4;6;0;2;0;4;2;0;2;0;4;2;0;0;2;0;0;0;2;0;2;2;2;0;0;2;2;0;0;0;2;2;0;2;2;2;0;0;0;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;4;2;4;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;4;2;6;2;2
