;covid19;colorado;state;cases;positive;health;coloradans;update;help;spread;#doingmypartco;home;testing;coronavirus;order;presumptive;@cdphe;provide;people;case;tested;watch;latest;la;lab;stay;live;public;new;march;number;press;emergency;protect;#covid19colorado;de;tests;confirmed;thank;1;results;community;family;release;additional;crucial;conference;taken;lives;important;insurance;relief;co;page;tonight;friends;reduce;indeterminate;stop;joined;completed;safety;todays;possible;officials;great;together;best;economy;federal;22;treated;contact;5;communities;morning;staying;glenwood;facebook;aurora;2;employer;business;slow;8;denver;actions;states;brings;12;coloradan;city;driveup;springs;start;woman;estado;coverage;uninsured;colorados
covid19;0;34;28;26;26;12;12;22;12;18;10;6;12;14;10;16;14;8;12;16;16;12;12;2;8;4;10;8;6;6;12;4;6;6;4;2;8;8;2;6;6;4;4;2;6;0;6;2;2;4;2;4;6;4;6;4;4;8;8;6;8;4;0;2;4;0;2;2;2;2;2;6;0;4;0;4;0;0;4;0;2;0;2;4;4;2;2;2;6;6;4;0;2;0;2;4;2;0;0;4
colorado;0;0;22;18;20;12;4;18;6;2;2;4;10;12;8;14;10;8;6;6;8;12;8;2;10;4;10;8;4;6;10;8;6;0;2;2;8;8;2;6;4;0;0;4;6;2;8;2;0;4;0;2;0;6;6;0;2;8;2;8;6;4;2;0;6;2;0;0;2;2;2;6;0;4;0;2;0;0;6;2;0;0;2;0;2;0;2;2;6;4;0;0;0;0;0;2;0;0;0;0
state;0;0;0;16;14;6;6;10;8;6;4;4;10;6;8;10;12;8;8;4;4;4;6;0;10;0;6;2;10;4;10;4;4;4;0;0;6;4;4;4;2;0;0;2;4;0;4;4;4;0;2;0;4;0;6;0;4;4;2;4;4;4;0;2;2;4;2;4;2;2;2;4;2;6;4;2;0;6;0;2;2;2;0;2;4;4;4;2;2;2;0;4;4;6;0;2;0;2;0;0
cases;0;0;0;0;18;6;0;14;2;2;0;2;6;8;0;12;10;4;8;10;8;4;8;0;6;2;2;4;6;4;8;2;0;0;0;0;6;8;0;6;6;0;0;2;2;0;2;0;0;2;0;0;6;2;6;0;0;8;0;4;6;2;0;0;4;0;0;0;0;0;0;6;0;4;0;0;0;0;2;0;2;0;0;0;4;0;0;0;4;4;0;0;0;0;0;2;0;0;0;2
positive;0;0;0;0;0;4;2;14;0;0;0;2;6;8;0;14;12;4;8;12;12;2;8;0;8;0;4;2;6;4;8;2;0;0;0;0;8;8;0;6;6;2;0;0;4;0;2;0;0;0;0;0;4;2;4;0;0;8;0;2;8;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;2;0;2;0;0;0;4;0;0;0;6;4;0;0;0;0;0;4;0;0;0;0
health;0;0;0;0;0;0;8;4;2;6;4;2;0;4;4;4;0;4;4;4;2;6;2;0;0;2;6;12;2;2;0;2;0;6;0;0;0;2;0;2;0;4;2;2;0;2;2;2;2;4;2;0;0;4;2;2;2;2;2;8;0;8;4;2;6;0;4;0;0;0;0;0;2;0;0;2;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0
coloradans;0;0;0;0;0;0;0;6;8;10;4;2;0;4;4;2;0;0;2;2;0;6;4;0;0;2;4;4;2;2;2;4;2;10;0;0;0;0;0;2;0;0;2;2;0;0;2;2;6;0;2;4;0;2;0;2;2;0;4;0;0;4;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0
update;0;0;0;0;0;0;0;0;4;0;2;2;2;12;2;12;6;6;0;6;4;10;4;0;6;2;8;0;4;4;6;2;2;0;0;0;6;8;0;4;2;0;0;0;4;0;2;0;0;2;0;2;0;4;2;0;0;4;0;4;4;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;2;6;4;0;0;0;0;0;2;0;0;0;2
help;0;0;0;0;0;0;0;0;0;6;6;6;2;2;0;0;0;4;2;2;2;4;2;0;0;2;2;0;4;0;4;2;2;2;2;0;0;0;0;0;0;2;2;2;2;0;0;2;0;2;2;4;2;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;8;2;0;0;4;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;2;0;2;8;4;0;0;0;0;0;0;2;2;0;0;0;2;2;4;0;0;0;2;0;0;2;4;0;8;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
#doingmypartco;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;6;0;0;0;0;2;0;2;4;4;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;4;2;2;0;0;0;12;0;0;4;2;0;4;4;0;4;0;0;2;0;0;0;4;4;4;0;6;0;2;4;0;0;0;2;2;0;4;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;2;0;0;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;2;6;0;4;0;4;0;6;0;0;0;0;0;2;2;0;0;0;0;2;2;2;4;4;0;0;0;4;0;2;0;0;2;2;0;2;0;4;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;0;2;0;0;0;0;4;0;2;2;2;0;0;4;0;0;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;2;6;0;4;2;2;4;0;6;0;4;4;4;4;0;0;0;2;4;6;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;4;0;0;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;4;0;0;2;4;2;4;0;2;0;0;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;4;0;0;0;0;2;4;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;2;2;0;2;0;4;0;2;0;0;2;0;0;0;0;2;0;2
presumptive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;8;4;2;6;0;4;0;4;2;4;4;6;2;0;0;0;0;4;4;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2
@cdphe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;4;0;12;0;0;0;6;4;6;0;0;0;0;0;8;4;2;2;4;0;0;0;4;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;8;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;0;2;4;0;2;2;0;0;0;6;0;0;0;0;0;0;0
