;virginia;#covid19;phase;health;commonwealth;laws;justice;virginians;work;important;continue;together;public;lives;racial;communities;pandemic;june;country;believe;tune;people;briefing;thing;new;year;still;means;may;working;taking;capacity;court;black;live;statue;place;eviction;watch;system;state;action;past;celebrate;across;access;help;find;care;history;relief;order;thank;law;indoor;lee;crisis;richmond;plan;home;latest;starting;mortgage;request;earlier;violence;federal;city;change;take;freedom;honest;racism;50;chief;program;rent;safe;gun;local;safely;proud;steps;progress;american;next;historic;remain;400;matter;executive;bed;legislation;vote;medicaid;#juneteenth;learn;restrictions;leaders;join
virginia;0;20;8;10;10;8;6;8;4;10;6;0;6;2;6;4;6;10;6;4;4;0;6;2;6;4;2;2;2;6;0;0;6;0;4;2;4;6;6;0;4;4;6;6;4;0;4;2;0;4;8;2;0;2;0;2;6;4;2;6;2;2;8;4;2;4;4;4;2;4;2;4;0;4;6;8;8;4;4;0;4;2;0;4;4;2;2;2;2;4;2;0;2;2;2;0;2;2;0;0
#covid19;0;0;0;4;4;0;2;14;0;6;4;0;4;2;0;0;8;4;0;0;6;2;8;0;2;0;2;0;4;0;0;4;2;0;4;0;0;4;6;0;2;0;2;0;0;0;2;2;0;0;6;2;4;0;0;0;6;0;0;2;6;0;6;2;6;0;4;0;0;0;0;0;0;4;4;6;6;2;0;0;0;0;0;2;0;0;2;2;0;0;2;4;2;0;4;0;0;2;0;2
phase;0;0;0;12;2;0;0;4;0;2;4;4;6;0;0;0;0;2;0;0;0;2;0;0;2;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;0;0;4;4;4;0;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;4;0;4;0;0;4;0;0;0;0;0;0;4;0;0
health;0;0;0;0;4;4;6;6;4;4;4;8;12;2;0;2;2;4;0;0;0;0;0;2;0;2;0;2;0;2;2;2;2;0;0;0;2;2;0;4;2;2;0;0;2;10;4;0;6;0;0;2;0;2;2;0;6;4;4;0;0;2;0;2;0;0;2;4;0;4;0;0;2;0;2;0;0;0;0;0;4;2;4;0;0;2;0;0;0;0;2;2;0;2;2;0;0;2;0;0
commonwealth;0;0;0;0;0;2;2;4;2;4;0;4;2;2;2;0;0;2;4;0;6;0;2;2;0;2;0;0;0;2;2;0;4;0;2;0;2;4;2;0;2;2;0;2;4;0;4;2;0;0;0;0;0;2;0;0;2;0;2;0;6;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;2;2;0;0;2;2;0;0;2;2;0;0;0;0;2;2
laws;0;0;0;0;0;0;4;0;0;0;0;0;2;2;4;4;2;2;0;0;0;2;0;0;2;6;0;0;0;4;0;0;2;0;0;2;2;0;0;0;0;2;0;2;2;4;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;2;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;2;4;2;0;2;4;0;6;2;0;4;0;0;0;2;0;2;0;0;0;2;2;4;2;0;6;2;0;0;2;4;0;2;0;2;0;4;0;4;4;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;4;4;0;0;0;2;2;4;0;2;0;4;2;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2
virginians;0;0;0;0;0;0;0;0;0;4;2;4;2;2;0;0;4;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;2;0;4;0;4;0;0;0;2;0;2;2;2;0;4;2;2;0;0;0;0;0;0;0;0;2;2;4;4;2;0;0;2;0;0;2;0;4;2;4;0;0;0;2;2;0;6;0;0;2;0;2
work;0;0;0;0;0;0;0;0;0;4;0;4;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;0;0;2;0;2;0;0;0;2;2;4;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;0;2;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;2;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
