;community;eglinton;city;support;toronto;email;thank;councillor_matlow@torontoca;new;metrolinx;please;residents;feel;welcome;ford;local;west;public;pleasure;happy;councillor;certainly;lrt;great;family;people;concerns;council;youth;together;citys;everyone;life;proud;businesses;along;quality;scarborough;subway;work;join;tonight;thoughtful;motion;ive;provinces;person;@rob_oliphant;@collemike;owners;@carolyn_bennett;finally;transit;construction;st;business;ave;conversation;staff;system;friends;health;mayor;safety;pauls;park;development;discuss;rather;torontost;party;money;remarkable;id;evening;good;shop;invited;number;apartment;developers;transportation;thanks;communities;working;rating;crosstown;plates;dog;hope;says;priorities;budget;@torontostar;forward;enjoying;give;reach;project;provincial
community;0;4;6;6;8;0;6;0;10;0;0;10;0;0;6;4;4;4;6;2;4;0;0;10;8;4;0;4;2;4;4;8;6;2;2;0;4;0;0;2;8;4;2;4;0;4;4;4;2;0;8;0;0;0;2;0;2;2;0;0;6;2;0;0;6;6;2;2;0;6;8;0;2;0;4;0;0;4;0;0;4;0;2;2;4;0;0;0;0;4;2;4;2;0;0;4;0;0;0;0
eglinton;0;0;0;10;0;2;0;2;4;16;2;6;2;2;0;4;18;0;2;2;0;2;12;4;0;0;0;2;2;4;0;0;2;0;10;10;0;4;4;0;4;2;0;2;0;4;0;0;6;8;0;0;2;12;4;8;4;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;6;2;2;0;2;4;0;0;2;0;8;0;0;2;4;0;0;0;0;0;4;2;6;2
city;0;0;0;2;12;6;2;6;6;2;4;2;6;6;0;0;0;4;4;2;6;2;2;2;2;2;4;8;6;2;2;2;0;0;0;0;0;0;0;4;4;0;2;4;2;0;0;0;0;0;2;2;0;0;0;0;0;4;4;4;2;2;0;6;6;4;0;2;0;6;0;0;6;0;6;2;0;4;2;2;0;0;4;4;2;4;0;2;0;4;2;4;6;0;4;0;0;0;0;0
support;0;0;0;0;4;0;4;0;4;4;2;8;0;0;4;4;8;0;2;0;0;0;4;0;2;4;2;4;4;4;2;2;2;6;6;6;2;0;0;4;0;0;2;4;2;6;0;0;2;6;0;0;0;2;4;4;4;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;6;0;0;0;2;2;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;4;0
toronto;0;0;0;0;0;2;2;2;6;0;2;6;2;2;0;4;0;8;0;0;2;0;0;0;6;4;2;4;2;2;4;0;2;2;0;0;4;0;0;0;2;2;4;6;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;6;6;2;2;4;4;0;2;0;4;0;0;2;0;2;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;2;2;4;0;0;0;0;0;0;0
email;0;0;0;0;0;0;0;28;0;2;24;0;22;24;0;2;0;0;0;12;2;14;2;2;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;8;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;2;0;0;6;0;8;4;2;0;0;2;0;0;4;0;2;6;0;0;2;2;2;0;0;2;0;0;0;2;0;0;6;0;0;2;0;0;0;4;2;4;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
councillor_matlow@torontoca;0;0;0;0;0;0;0;0;0;2;24;0;22;24;0;2;0;0;0;12;2;10;2;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;6;0;2
new;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;2;0;2;0;0;4;0;0;0;0;2;4;4;2;0;0;0;2;0;0;4;2;0;0;0;0;0;0;4;0;6;0;0;0;2;0;0;0;4;0;2;0;0;0;4;0;2;2;4;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;4;0;0;2;0;4;2;4;0;0;4;0;0;0;0;0;0;0;0;0
metrolinx;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;6;0;0;0;4;0;14;0;0;2;0;4;0;2;0;0;0;0;6;4;0;8;6;0;0;0;0;2;0;2;0;0;2;2;0;4;8;8;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;6;2
