;arkansas;state;great;thank;ar;2020;states;new;weeks;address;speak;dedication;radio;honor;home;refugees;life;service;annual;education;work;learn;trade;school;news;governor;rock;king;good;help;power;inspiring;year;opportunities;force;opportunity;1;nwa;understand;martin;commend;young;across;march;historic;tonight;yrs;students;fled;discuss;honored;task;little;legacy;todays;luther;forrest;summer;lab;@realdonaldtrump;apply;economic;#usmca;morning;hard;development;importance;shared;people;income;decisions;congratulations;leadership;dr;night;visited;natural;wood;individuals;line;lets;ars;arkansans;technology;security;story;officers;high;duty;reduced;trail;opening;3;helps;week;summit;land;building;report;program
arkansas;0;14;4;8;0;4;6;0;4;4;4;6;4;6;6;2;0;2;4;4;4;2;0;8;0;4;2;0;2;2;0;4;2;0;4;0;2;2;2;0;2;2;4;0;4;2;0;4;0;4;0;4;2;0;2;0;2;0;0;0;2;2;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;2;2;2;0;0;2;0;2;0;4;2;0;0;0;0;0;4;0;0;0;4;0
state;0;0;4;8;4;0;4;2;2;2;2;4;2;6;2;0;0;4;2;2;4;2;0;4;0;2;2;0;0;4;4;2;0;0;0;2;0;4;2;0;2;0;4;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;2;0;0;4;0;0;2;2;2;0;2;0;0;2;2;0;4;0;2;2;2;2;2;0;2;2;0;0;2;0;2;0;0;2;0;2;2;0;2;0;0;0
great;0;0;0;8;2;0;2;4;2;2;4;0;2;0;0;0;2;0;2;0;2;2;4;0;4;2;0;0;0;2;0;0;2;2;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;2;2;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
thank;0;0;0;0;0;0;2;0;0;0;6;4;0;2;0;0;0;2;4;0;4;0;2;2;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;2;4;0;2;0;2;0;2;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
ar;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;2;2;0;4;2;0;2;2;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;2;2;0;2;2;0;0;0
2020;0;0;0;0;0;0;2;2;2;2;0;2;2;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;2;2;0;2;4;0;0;0;0;2;0;4;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;4
states;0;0;0;0;0;0;0;2;4;4;0;0;4;2;0;2;0;4;2;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;2;2;4;2;2;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0
weeks;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;2;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0
address;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0
speak;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;6;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dedication;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
radio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0
