;pure;president;new;trump;united;states;news;people;great;york;youthank;country;city;state;department;national;team;donald;big;house;next;2016;2;government;china;end;best;article;american;movie;good;part;dinner;3;another;pittsburgh;thursday;working;elder;help;scrolls;thank;fbi;uespwiki;old;strong;bringing;source;share;death;worth;season;canceled;lots;republican;million;poll;believe;supreme;wednesday;jim;30;job;extremely;nation;trumps;presidential;power;senate;thought;court;justice;investigation;start;military;pay;morning;chief;wants;released;series;j;take;decision;show;chance;posed;service;high;center;magic;annual;lie;federal;page;report;called;fact;year;misleading
pure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;4;14;8;8;0;4;4;4;0;2;2;6;6;2;2;6;0;2;4;2;2;0;2;2;2;0;0;2;0;0;4;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;4;0;0;0;2;2;2;4;2;2;2;0;4;4;0;2;2;0;4;0;0;2;0;0;0;4;0;0;2;4;0;2;0;0;0;0;0;0;2;2;0;2
new;0;0;0;10;0;2;6;0;2;12;0;2;2;2;2;2;2;4;0;0;0;0;0;4;0;2;0;2;0;0;2;0;2;0;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;0;4;2;4;0;0;2;0;2;0;0;4;2;0;2;2;2;0;2;0;2;2;0;0;2;0;0;0;0;0;0
trump;0;0;0;0;2;2;2;2;2;8;0;4;2;6;2;2;0;8;0;0;2;0;2;0;0;0;2;2;2;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;2;2;2;0;0;2;0;2;2;0;4;0;0;0;2;2;4;0;2;0;0;4;0;0;0;2;0;2;0
united;0;0;0;0;0;20;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;2;2;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0
states;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;4;0;0;0;2;2;0;2;2;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;2;2;0;0;0
news;0;0;0;0;0;0;0;2;6;2;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;0
great;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
youthank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;2;2;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
