;great;thank_you;president;bernie;trump;big;people;mini_mike;@foxnews;military;party;impeachment_hoax;democrat;republican;state;america;fake_news;iowa;democrats;strong;crazy;vets;country;endorsement;mueller;#maga;vote;russia;good;dems;win;congress;history;states;border;carolina;campaign;#2a;coronavirus;working;china;help;job;money;bad;trump”;usa;wonderful;tonight;everyone;hampshire;bloomberg;agenda;scam;south;united;record;loves;jobs;debate;best;supports;corrupt;american;place;texas;countries;think;@cnn;rally;john;trial;do_nothing_democrats;debates;congratulations;judge;polls;night;senator;totally;administration;honor;economy;numbers;could;stop;deal;report;phony;wall;sanders;crime;hope;senate;election;running;fake;nice;business;anything
great;0;16;0;0;10;12;32;0;8;20;2;0;14;8;20;12;10;2;6;6;2;16;6;6;0;2;8;0;12;4;6;8;4;4;4;2;0;0;8;2;8;12;36;2;8;2;10;2;2;2;0;0;0;0;0;2;4;4;4;0;2;6;2;10;2;4;6;2;2;2;2;2;6;0;8;0;2;6;4;4;2;8;0;0;2;0;2;0;0;2;0;2;2;0;4;0;2;4;12;0
thank_you;0;0;2;0;2;2;4;0;2;6;6;0;0;10;2;0;2;0;0;0;0;0;0;0;0;10;0;0;2;0;4;0;6;4;2;2;0;0;0;6;2;2;4;2;4;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0
president;0;0;0;0;4;2;4;0;0;0;2;0;2;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;8;2;2;0;0;0;4;0;4;0;4;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0
bernie;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;2;0;2;4;2;0;0;2;4;0;0;2;0;0;0;2;0;2;0;0;2;4;0;4;0;0;0;2;0;0;4;0;2;0;2;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;4;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
big;0;0;0;0;0;0;16;0;0;2;4;0;4;8;6;0;4;0;2;4;2;2;8;4;0;0;8;0;6;2;10;2;2;4;6;0;2;0;4;0;0;4;4;2;4;0;6;2;2;0;2;0;0;2;0;2;4;0;2;0;4;0;0;0;2;4;2;0;0;0;6;0;2;0;6;0;0;0;0;2;2;0;0;4;0;0;2;2;0;2;0;6;0;0;2;4;0;0;0;0
people;0;0;0;0;0;0;0;0;4;14;0;0;2;4;12;4;12;2;2;6;4;14;8;10;0;2;2;0;6;0;6;10;2;4;6;2;2;0;6;6;14;14;8;0;4;0;8;0;0;0;0;0;2;2;0;4;0;4;4;0;0;12;6;6;2;0;0;2;2;0;0;0;2;0;2;0;4;2;2;8;2;0;0;0;0;0;2;2;0;2;0;0;0;0;6;0;2;0;6;2
mini_mike;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@foxnews;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;2;0;28;2;20;0;4;0;0;2;0;4;8;0;0;2;0;0;0;0;2;0;6;2;2;0;0;0;0;0;0;0;0;4;0;0;0;2;10;0;0;2;8;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0
