;#gapol;covid19;georgia;testing;georgians;great;patients;state;health;w;days;icymi;hospitalized;kemp;positive;together;number;percentage;working;use;capacity;data;partnership;new;war;proud;battle;declining;@aug_university;business;app;fight;future;making;public;difficult;local;progress;vulnerable;family;drop;#;lowest;virus;record;cases;american;protect;may;story;ventilators;encouraging;georgias;vigilant;welcome;leaders;distancing;incredible;hospitals;especially;1;build;unite;prosperous;expresscare;resources;follow;dangerous;1203;14;au;available;week;hospitalizations;community;practice;efforts;897;tested;service;healthier;gt;among;ga;hospital;currently;1000;supporting;safer;part;prayers;advice;social;remain;spread;reduced;enhance;surge;stronger;call
#gapol;0;30;18;10;12;12;10;12;14;8;6;10;6;10;2;10;6;2;4;4;8;6;8;4;8;6;6;4;8;6;6;4;6;2;6;4;6;4;4;4;4;2;2;2;4;4;4;4;2;4;2;0;4;2;4;4;4;4;4;4;2;4;4;4;4;4;4;0;2;2;4;2;4;2;4;4;0;2;0;4;4;2;4;2;4;2;4;4;4;4;2;4;4;0;4;4;2;4;4;2
covid19;0;0;14;14;8;8;14;10;10;8;4;6;10;2;10;6;8;8;4;8;8;4;8;6;6;6;8;6;8;4;6;6;2;4;0;2;4;6;4;0;6;4;4;4;4;4;0;0;4;2;4;4;2;4;0;2;2;0;4;0;4;2;2;2;4;4;2;4;4;2;4;4;4;4;2;2;4;4;4;2;2;2;4;2;4;4;4;0;2;2;0;0;2;4;4;4;4;4;2;2
georgia;0;0;0;4;2;2;6;4;0;0;2;2;4;0;4;6;2;2;2;2;2;0;2;2;0;2;2;0;2;2;0;2;2;0;0;0;2;0;0;2;4;0;0;4;2;2;2;0;4;2;0;2;0;2;2;2;0;2;2;0;4;4;4;4;0;0;0;4;0;0;0;0;2;2;2;0;4;0;0;0;2;2;0;0;0;2;2;0;4;0;2;0;0;4;2;2;2;0;4;0
testing;0;0;0;0;8;4;4;4;2;4;6;2;4;0;6;4;4;6;2;2;6;4;4;6;2;0;2;6;6;0;4;0;0;4;0;2;0;4;2;0;2;2;2;2;4;2;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;0;0;0;0;2;2;4;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2
georgians;0;0;0;0;0;2;4;2;6;4;6;2;4;2;6;6;4;6;2;2;4;4;2;2;4;0;2;4;2;0;2;0;2;4;4;2;0;4;4;0;2;2;2;0;4;0;0;4;0;0;2;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;2;0;2;2;2;2;0;0;0;2;0;2;4;0;2;0;0;2;2;0;0;0;2;0;0;4;2;0;0;2;0;2;2;2
great;0;0;0;0;0;0;0;6;2;0;2;0;0;2;2;2;2;2;0;0;2;0;4;2;0;0;0;2;2;0;0;2;2;2;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
patients;0;0;0;0;0;0;0;6;2;4;2;2;10;0;6;4;6;4;2;6;4;4;0;0;2;2;2;4;0;0;0;0;2;2;0;0;0;2;0;0;4;4;4;2;2;0;0;0;4;0;4;4;0;0;0;0;0;0;4;0;4;2;2;2;0;0;0;2;4;2;0;4;2;2;0;0;2;4;2;0;2;0;0;2;4;4;2;0;2;0;0;0;0;2;0;4;2;4;2;0
state;0;0;0;0;0;0;0;0;4;0;4;2;2;0;2;2;4;2;0;2;2;2;2;4;0;2;0;6;0;0;0;0;4;2;0;2;0;2;2;0;2;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;2;2;2;0;0;0;0;0;2;0;0;4;2;0;0;0;0;2;0;2;0;0;2;2;0;4;0;2;0;0;0;0;0;0;2;2;2;2;0
health;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;2;4;2;6;0;4;2;2;2;4;2;4;0;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;2;0;0;0;4;0;2;2;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;4;2;0;0;0;2;2;0;2
w;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;2;2;2;4;2;4;4;0;0;2;2;2;4;0;4;0;0;2;2;0;2;0;0;2;0;4;4;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;4;2;0;0;4;2;4;4;0;0;0;0;0;4;2;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;4
days;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;4;2;2;0;4;0;4;0;2;2;6;0;0;0;0;0;4;0;4;0;2;2;2;0;2;2;2;2;2;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;4;0;2;0;0;0;0;0;2;4;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2
icymi;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;4;2;4;2;4;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;4;4;4;2;2;0;0;0;4;0;4;4;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;2;4;2;0;4;2;0;0;0;2;4;2;0;0;0;0;2;2;4;2;0;0;0;0;0;0;2;0;2;0;2;0;0
kemp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;2;4;2;2;0;2;2;0;2;4;0;0;0;2;0;4;0;2;0;4;2;0;4;2;2;4;4;2;0;0;2;0;2;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;2;0;2;0;0;2;2;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;4;0;2;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;4;0;2;0;4;0;0;0;2;0;0;0;4;2;2;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;4;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;4;0;0;2;2;0;0;4;0;2;4;0
number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;2;0;2;2;0;0;2;0;0;0;0;2;4;0;2;0;4;2;0;2;2;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;4;0;2;2;0
percentage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;2;0;2;4;0;0;0;2;0;4;0;2;0;4;2;0;4;2;2;2;4;2;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;0;0;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;0;0;2;0;0;0;4;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;2;0;2
use;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;2;4;0;0;0;2;0;0;0;0;0;0;0;0;2;4;4;2;0;2;0;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;2;0;4;0;4;0;0;0;4;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;4;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;4;4;2;0;2;0;2;0;0;4;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;0;4;0;0;0;0;0;4;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
partnership;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;2;2;2;2;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;2;2;0;0;4;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;4;0;0;2;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;2;0;2;2;0;2
battle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
declining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;2;2;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;0;0;2;4;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
@aug_university;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
app;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0
future;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0
making;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0
difficult;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0
