;united;new;trump;people;states;great;american;house;president;news;hillary;working;americans;government;history;clinton;rate;million;china;big;political;shooting;campaign;crime;york;russia;forced;monday;fake;radical;complete;care;help;billion;democratic;republican;health;movie;party;life;simpsons;story;corrupt;administration;businesses;fbi;former;country;plot;spotted;federal;called;media;national;countries;dems;director;agreed;forward;hard;british;put;attending;report;leadership;al;announced;companies;congress;state;created;win;forces;white;book;general;robert;death;left;terrorist;bill;donald;article;navy;failed;source;special;ambassador;list;build;texas;senator;act;known;night;year;orlando;tuesday;election;dead
united;0;0;6;2;22;0;0;4;6;0;0;0;0;2;2;0;2;2;4;0;2;0;0;2;0;0;6;0;0;2;0;0;2;4;2;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;2;2;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
new;0;0;2;2;0;4;2;0;0;2;2;4;0;0;2;4;0;0;0;0;0;0;2;0;8;2;0;4;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;4;0;0;0;2;0;2;2;0;2;0;2;2;2;0;2;0;0
trump;0;0;0;2;6;0;0;4;8;0;0;2;0;0;4;0;0;0;2;4;2;2;4;0;2;2;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;2;4;2;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;2;0;2;2;2;0;2;0;0;0;4;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;2;0;0
people;0;0;0;0;2;2;8;0;2;2;2;2;4;2;0;2;0;0;2;2;0;2;0;0;0;0;4;0;0;2;2;0;2;2;6;0;0;0;4;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;4;0;2;2;0;0;2;0;0;0;2;0;2;0;2;2;0;0;2;0;0;4
states;0;0;0;0;0;0;0;2;6;0;0;0;0;2;2;0;2;2;4;0;2;0;0;2;0;0;6;0;0;2;0;0;0;2;2;2;0;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
great;0;0;0;0;0;0;4;2;2;4;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2
american;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0
house;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0
president;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;2
news;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;2;2;2;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;4;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2
