;north;people;state;gov;covid19;carolina;cooper;health;help;work;carolinians;virus;home;force;task;coronavirus;order;school;live;continue;businesses;testing;communities;new;phase;restrictions;stay;pandemic;important;care;working;update;face;students;members;safe;spread;lives;give;rc;watch;coopers;across;still;economy;cases;families;community;may;briefing;public;workers;thank;week;local;making;another;schools;updates;fight;together;2;protect;business;safety;critical;education;hard;grateful;leaders;1;social;country;hospitals;tracing;take;carolinas;distancing;states;ease;federal;move;trends;weeks;service;plan;unemployment;executive;assistance;hospital;especially;jobs;difficult;covering;yesterday;everyone;strong;justice;data;budget
north;0;74;106;86;92;252;82;72;68;52;176;40;38;24;24;24;28;12;12;32;22;34;50;36;22;30;18;44;20;34;36;14;22;22;8;24;24;22;12;16;10;6;30;22;20;24;30;28;20;2;10;14;20;16;18;24;20;14;10;14;26;16;18;14;16;18;28;20;10;18;18;8;16;14;8;22;48;6;16;14;18;14;16;16;12;10;10;6;12;18;8;16;4;8;14;12;14;8;6;16
people;0;0;50;26;48;34;28;38;36;32;36;40;40;8;4;4;36;6;0;30;34;16;20;26;26;28;28;16;26;14;22;0;28;0;0;32;14;24;6;8;2;0;8;26;30;30;24;6;8;0;16;14;8;6;6;10;8;8;0;4;10;8;16;6;14;8;4;6;4;6;10;12;8;8;12;16;4;12;6;16;4;10;4;8;2;8;12;8;6;24;12;10;10;20;14;8;8;6;8;2
state;0;0;0;30;52;66;34;44;48;38;36;32;14;14;14;16;12;10;2;28;14;24;22;14;14;18;4;26;8;24;34;0;4;22;2;16;14;10;2;12;0;2;60;16;12;8;20;14;4;4;22;16;24;16;24;8;12;18;2;22;0;10;14;12;14;14;18;12;12;22;16;2;18;6;14;8;8;2;10;10;30;2;4;12;14;6;10;8;10;2;2;2;6;0;10;4;10;6;4;18
gov;0;0;0;0;86;56;244;28;14;10;26;6;6;98;96;100;16;6;104;8;10;4;8;14;2;12;6;6;4;6;8;88;0;6;70;8;8;6;62;0;64;74;8;6;4;4;10;8;6;70;12;8;6;4;8;8;4;8;52;8;8;6;10;10;2;6;10;8;4;14;4;0;10;8;4;10;12;0;10;6;0;4;4;0;8;6;2;10;6;4;2;4;2;0;18;0;0;4;2;0
covid19;0;0;0;0;0;50;40;42;42;16;38;22;12;8;8;10;16;4;12;20;18;16;32;18;14;12;6;20;8;16;12;12;16;2;4;12;32;14;6;4;10;46;8;16;6;30;18;16;4;44;16;16;10;12;12;14;12;10;48;28;12;12;12;10;4;14;4;6;2;10;10;12;8;8;12;6;10;10;12;6;10;6;6;4;4;4;10;4;14;12;4;4;6;4;6;2;2;4;6;4
carolina;0;0;0;0;0;0;52;28;36;22;10;20;20;14;14;14;14;2;10;14;20;20;24;28;18;20;6;26;16;8;10;10;4;8;8;6;14;12;8;6;8;4;22;18;14;14;16;20;12;2;8;6;12;4;10;16;8;6;2;10;6;12;6;8;10;12;16;4;0;8;16;2;14;8;8;8;4;0;12;8;14;10;6;10;4;12;4;4;6;8;2;8;4;0;14;6;6;8;4;4
cooper;0;0;0;0;0;0;0;26;14;10;24;6;6;100;98;102;14;6;104;8;8;4;6;14;2;10;6;6;6;6;8;90;0;6;74;10;6;6;62;0;66;2;8;6;4;4;10;6;6;20;12;6;6;4;6;10;4;8;2;8;8;6;12;8;2;4;10;8;6;14;4;0;12;6;2;10;12;0;12;6;0;4;4;0;10;4;2;8;4;4;2;4;4;0;18;0;0;4;2;0
health;0;0;0;0;0;0;0;0;16;16;48;14;4;14;12;12;8;12;4;22;10;18;22;8;8;20;2;14;20;60;16;6;10;8;4;4;14;6;6;6;6;4;8;10;12;4;4;8;14;0;32;10;4;10;22;6;10;14;0;6;18;2;18;16;16;4;14;6;2;16;2;6;0;8;14;6;2;4;4;8;6;6;6;4;0;10;4;0;8;4;6;4;2;4;6;4;6;6;8;14
help;0;0;0;0;0;0;0;0;0;12;26;14;18;4;4;2;22;8;0;12;14;18;20;10;6;6;8;20;14;6;20;0;6;12;2;12;6;10;4;2;0;0;20;2;18;4;12;12;0;0;6;18;8;10;18;14;4;10;0;8;6;2;8;8;4;10;2;8;6;0;2;4;6;6;10;0;6;4;6;4;22;2;0;2;4;2;14;10;12;8;2;4;4;2;2;4;0;2;2;4
work;0;0;0;0;0;0;0;0;0;0;24;30;8;4;2;0;6;20;2;16;10;18;10;24;2;18;8;18;12;10;6;0;10;4;2;10;8;10;2;2;0;0;8;8;10;4;4;2;6;0;6;12;18;10;6;10;10;8;4;8;24;2;6;4;2;10;4;24;10;0;6;4;0;10;14;6;8;4;2;12;8;6;10;4;4;2;8;2;6;4;6;4;4;4;8;4;6;10;4;2
carolinians;0;0;0;0;0;0;0;0;0;0;0;18;14;8;8;10;12;4;0;16;4;8;24;6;6;10;10;14;4;28;20;4;16;4;0;18;8;10;2;12;0;4;2;4;4;6;12;10;8;0;2;6;6;12;8;6;8;6;6;4;22;6;12;6;8;4;4;14;10;8;4;6;0;6;2;16;2;6;2;6;4;4;8;6;8;0;6;2;4;8;4;6;0;8;2;6;6;0;0;12
virus;0;0;0;0;0;0;0;0;0;0;0;0;12;2;2;2;8;4;0;16;8;8;4;12;16;12;8;2;14;10;4;0;24;2;2;8;34;10;0;0;2;0;8;14;18;16;10;4;4;0;8;6;4;2;4;4;12;6;0;10;12;10;18;6;6;6;0;8;2;0;2;8;4;8;8;2;4;8;0;8;6;0;6;6;4;0;2;2;4;10;10;4;12;14;0;8;4;0;2;2
home;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;34;8;0;18;16;2;6;8;26;22;56;14;12;2;8;0;12;6;0;8;12;18;2;6;0;0;4;14;8;4;12;6;14;0;2;6;16;4;2;4;12;10;0;2;0;20;4;4;4;4;2;6;2;2;8;20;2;2;0;6;6;18;0;10;0;8;2;6;2;4;0;2;0;4;6;0;4;10;2;12;2;0;4;0
force;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;104;2;0;92;2;4;0;4;0;0;4;0;0;4;4;8;78;2;0;70;6;0;4;56;0;58;2;2;0;2;2;2;0;2;14;6;2;0;0;2;2;0;0;0;0;4;4;6;4;2;2;4;4;0;4;0;2;0;0;0;2;2;0;4;2;0;2;0;2;2;2;0;2;0;0;0;0;0;0;2;2;0;8;0;0
task;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;2;0;92;2;4;0;0;0;0;4;0;0;4;4;8;78;2;0;70;4;0;2;56;0;58;2;2;0;2;2;2;0;2;14;6;2;0;0;2;2;0;0;0;0;2;4;6;4;2;2;4;4;0;4;0;2;0;0;0;2;2;0;4;2;0;0;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;8;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;2;0;0;0;6;0;4;0;2;2;2;4;80;0;0;70;8;2;2;56;0;58;4;0;0;2;4;2;0;2;16;6;0;0;0;2;0;0;0;4;0;0;4;6;6;2;0;2;2;0;6;0;0;0;0;0;2;2;0;6;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;2
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;6;6;6;20;24;30;8;4;2;4;0;2;2;2;4;2;8;2;0;2;0;4;10;4;0;0;2;12;0;4;8;2;8;4;0;0;6;0;0;0;8;0;6;0;4;0;2;0;0;14;6;0;2;2;4;2;6;0;14;2;8;6;6;2;4;12;38;2;2;2;2;4;2;6;2;2;2;6;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;0;6;12;0;6;6;2;10;0;8;0;2;34;0;4;6;6;2;2;0;0;4;6;0;2;6;8;6;0;18;2;6;2;8;4;2;20;0;2;8;0;6;4;4;4;14;4;4;8;0;0;0;2;0;0;8;0;2;2;0;0;2;0;2;4;0;0;2;0;4;4;4;2;0;0;4;0;0;8
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;86;0;0;70;2;0;0;62;0;66;4;0;0;0;0;0;0;0;18;2;0;0;0;0;4;2;0;2;2;0;6;0;0;0;0;2;0;0;6;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;8;14;14;14;12;8;2;8;8;0;2;8;2;4;8;4;2;2;0;0;6;12;8;16;10;4;8;0;4;8;8;2;2;4;8;6;2;2;12;10;8;6;0;2;0;6;0;2;2;4;2;6;0;2;2;4;2;6;4;6;2;8;4;4;4;0;6;10;2;2;2;2;0;6;6;0;4;0
