;#covid19;pennsylvania;pennsylvanians;help;health;home;phase;counties;stay;businesses;people;pa;reopening;thank;safe;yellow;guidance;continue;work;vote;spread;plan;safety;new;care;commonwealth;lives;masks;resources;students;order;food;mask;election;green;public;may;program;protect;place;wear;pandemic;social;move;red;2;cases;june;business;primary;workers;mail;schools;mental;reopen;violence;restrictions;county;sign;register;together;distancing;state;stop;information;still;working;school;learn;take;paians;across;assistance;available;@pahealthdept;everyone;ballot;million;support;latest;making;heres;efforts;part;prevent;proud;unemployment;please;signed;pennsylvanian;find;registration;follow;close;law;possible;employees;provide;virus;families
people;0;0;0;0;0;0;0;0;0;0;0;12;12;6;12;6;10;10;10;0;10;8;6;8;4;12;18;14;6;0;8;6;10;0;2;18;8;4;12;4;10;8;10;8;4;2;8;0;10;0;0;0;0;2;2;6;12;2;0;0;8;10;2;6;2;6;8;2;6;8;2;6;4;4;4;2;0;4;2;2;0;0;2;4;6;6;0;0;0;6;2;0;0;4;4;6;0;4;4;8
pa;0;0;0;0;0;0;0;0;0;0;0;0;8;6;6;6;2;2;8;2;4;14;8;18;10;6;6;4;10;10;6;8;0;0;4;10;2;8;4;4;0;2;4;2;2;2;4;2;2;2;6;0;14;20;8;8;4;4;0;0;6;4;2;8;0;4;4;6;8;4;2;6;4;4;0;2;0;4;10;2;2;2;4;4;8;4;2;4;4;2;4;0;0;2;0;0;0;8;4;4
reopening;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;52;18;16;8;0;4;22;22;6;4;8;2;4;2;2;2;2;4;0;34;10;12;0;0;16;2;8;2;30;30;2;10;6;4;0;0;0;2;0;10;0;22;8;0;0;4;2;4;0;4;10;2;2;8;2;4;0;2;2;4;4;0;2;0;0;2;6;8;0;4;4;0;2;0;2;0;0;6;0;0;2;0;2;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;6;16;20;0;12;2;4;0;10;22;6;0;2;2;2;8;2;0;0;2;0;0;10;4;2;14;6;2;0;0;2;0;0;2;8;0;2;2;6;0;0;2;2;0;6;6;2;4;0;0;8;2;4;8;2;4;0;0;6;14;0;4;4;6;4;4;8;22;2;8;0;2;0;14;4;0;0;2;2;2;4;0;4;6
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;12;4;2;8;6;4;4;4;14;2;2;4;4;8;4;6;2;4;6;4;2;8;6;2;4;4;6;6;2;6;4;0;4;8;2;4;0;12;4;2;2;4;2;2;4;4;8;0;2;12;2;10;6;4;6;2;2;6;10;0;2;2;4;4;8;12;12;6;2;0;2;2;0;4;0;4;0;2;2;8;4;4;8
yellow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;14;0;0;6;6;22;12;12;4;2;14;0;0;0;2;4;0;34;6;22;0;0;24;6;0;12;34;54;0;6;6;6;0;2;0;4;0;10;0;28;6;0;0;0;10;4;2;6;10;0;0;2;2;6;0;0;4;2;2;0;0;0;2;4;6;6;0;6;0;0;6;0;2;0;0;8;0;0;6;0;0;4;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;14;6;28;8;4;8;2;10;6;4;6;2;6;0;10;6;8;2;10;16;8;4;14;6;16;0;4;2;6;0;4;0;2;0;6;0;8;6;0;0;2;12;0;8;4;2;0;4;4;0;6;0;2;8;12;2;0;0;0;16;0;4;0;6;2;0;2;6;0;2;2;0;20;4;2;4;10;2;2;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;14;4;14;8;8;12;16;14;2;2;4;0;14;0;2;16;4;4;12;10;18;2;20;10;6;0;6;0;0;0;0;0;4;0;6;0;6;6;0;0;4;18;4;8;0;12;0;2;2;18;6;2;0;0;0;14;0;0;4;0;2;0;8;8;4;4;2;20;0;4;0;0;4;0;2;8;0;2;10;4
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;6;6;6;12;14;0;4;0;10;2;2;0;0;0;2;0;12;8;0;4;6;2;0;2;6;0;2;0;10;0;0;0;4;2;0;4;2;0;16;6;2;8;0;2;2;0;4;0;2;2;2;0;0;10;0;0;4;0;4;2;2;4;2;8;4;4;2;10;0;0;4;2;0;4;6;4;6;4
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;64;0;0;20;0;0;6;0;0;0;0;0;42;0;42;0;56;0;42;0;0;0;0;0;2;38;38;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;34;6;0;0;0;0;0;0;0;4;0;0;14;0;4;26;0;0;0;0;0;2;0;0
