;great;united;states;trump;new;president;people;campaign;security;american;national;thing;country;may;administration;world;government;washington;media;nations;coming;federal;good;obama;fire;free;nfl;clinton;big;thank;community;war;possible;leader;another;senate;fighter;house;department;investigation;story;americans;church;caught;bad;bill;built;mexico;family;morning;republican;program;order;court;transcript;report;copy;powerful;general;china;email;child;year;happens;rush;russian;sign;taking;full;michael;controversial;death;protect;business;2017;area;news;league;data;joint;scientist;presidential;week;major;support;bernie;policy;police;thousands;help;suspect;following;final;friday;case;countless;old;man;women;justice
great;0;2;0;0;2;0;6;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;4;2;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
united;0;0;20;6;4;8;4;2;6;0;0;0;0;2;4;0;0;2;0;2;2;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;4;2;4;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
states;0;0;0;4;4;8;2;0;6;0;0;0;0;2;4;0;0;2;0;2;2;0;0;4;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;4;2;6;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0
trump;0;0;0;0;6;8;2;10;2;0;0;2;0;4;0;0;2;6;2;0;2;0;0;2;0;0;0;4;0;2;0;0;2;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;4;0;2;0;2;0;0;0;2;2;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2
new;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
president;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;2;0;2;4;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;6;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2
security;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0
