;missouri;state;great;president;#missouriproud;new;team;capitol;2020;members;proud;workforce;st;governors;leadership;meet;missouris;office;morning;working;thank;teresa;program;community;trade;leaders;work;honored;#missouriforward;county;help;infrastructure;@chiefs;rural;visit;city;missourians;#sotu;#weservemo;public;year;life;@realdonaldtrump;home;future;million;family;health;people;american;general;2019;across;#chiefskingdom;louis;director;protect;students;history;committed;house;week;excited;hard;charles;discuss;governor;forward;tonight;chiefs;senate;improve;agencies;little;tour;happy;employees;budget;next;trump;thanks;good;united;miss;congratulations;development;federal;hear;efforts;administrations;welcome;young;issues;major;participate;enforcement;entire;afternoon;credit;school
missouri;0;36;26;6;8;6;10;18;10;16;16;0;6;12;10;12;6;8;6;2;4;8;4;8;6;8;4;8;4;6;2;2;4;6;2;10;2;4;6;6;4;10;2;10;8;4;0;6;6;8;2;6;6;0;2;8;4;4;6;4;8;6;2;2;4;4;6;4;2;2;6;4;8;4;4;4;6;2;6;0;4;2;4;4;4;0;6;2;6;0;6;2;4;6;4;4;6;2;2;2
state;0;0;18;4;4;2;12;12;10;14;14;4;6;4;6;4;10;4;8;2;6;2;2;6;0;4;4;4;2;6;4;6;2;0;0;8;2;6;8;0;4;0;0;6;4;6;0;4;8;4;4;6;4;0;2;6;0;4;8;4;4;4;2;4;2;2;2;2;2;0;2;2;0;0;0;4;0;4;4;2;2;0;2;2;0;2;2;2;4;2;4;2;2;0;2;2;2;4;0;0
great;0;0;0;8;10;8;10;6;6;12;8;4;6;10;6;14;4;10;6;4;4;4;0;4;0;4;2;0;4;4;6;0;0;2;6;4;2;2;4;2;0;4;0;2;0;0;2;0;2;2;0;2;0;2;2;2;0;2;2;0;4;0;2;2;4;2;2;0;2;0;2;0;0;0;4;2;2;2;2;0;2;0;0;0;2;2;0;4;4;2;4;2;2;0;0;0;4;0;2;0
president;0;0;0;0;8;4;2;0;0;0;4;2;0;0;2;4;2;2;0;2;0;0;0;4;10;0;4;0;0;0;2;0;0;0;0;2;0;14;0;0;4;2;14;4;0;0;0;0;4;6;0;2;2;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;4;0;2;0;0;0;0;0;0;2;0;10;0;2;2;0;4;0;2;6;0;2;0;0;0;0;0;0;2;0;2;2
#missouriproud;0;0;0;0;0;0;4;0;0;0;8;0;2;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;2;4;0;4;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
new;0;0;0;0;0;0;2;2;0;4;2;4;0;0;4;0;2;4;0;0;2;2;6;4;0;2;4;0;4;0;2;2;0;4;2;0;0;2;0;2;2;0;0;0;0;2;2;2;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;2;0;6;4;2;2;6;0;0;0;2;2;0;4;0;2;0;0;0;0;0;4;0;0;0;2
team;0;0;0;0;0;0;0;0;2;10;2;4;2;2;4;0;4;2;2;4;8;2;0;2;2;4;2;0;2;0;2;0;0;2;0;0;0;0;6;2;2;0;0;0;0;0;0;2;2;2;0;4;4;0;0;2;0;0;2;0;0;0;2;4;2;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;2;0;0;0;0;0;2;0;0
capitol;0;0;0;0;0;0;0;0;0;8;6;0;2;6;2;6;2;6;0;0;2;0;0;0;0;2;2;2;0;2;0;0;2;0;8;6;2;0;0;0;0;2;0;4;2;0;4;0;2;0;0;0;2;2;2;0;0;4;2;2;2;6;0;0;2;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0
2020;0;0;0;0;0;0;0;0;0;2;2;2;4;4;4;0;6;2;10;0;4;4;2;0;0;4;0;0;0;2;0;0;2;0;2;2;2;0;4;0;2;0;0;0;2;2;2;0;0;0;2;4;0;0;2;4;0;2;4;0;4;0;0;0;2;0;0;0;2;0;2;0;0;2;0;4;0;2;4;0;2;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;2;0;2
members;0;0;0;0;0;0;0;0;0;0;6;2;0;4;6;4;6;4;4;2;8;0;0;2;0;0;2;2;0;2;0;0;0;2;4;0;0;0;6;0;0;2;0;2;0;0;2;4;2;2;2;0;2;0;0;0;0;2;4;0;2;4;0;4;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0
