;president;great;states;united;people;new;trump;billion;government;american;state;national;closely;working;bill;win;story;big;obama;russia;huge;investigation;military;hard;days;democrats;trying;department;election;help;court;supreme;took;book;friend;governor;party;house;moving;jobs;team;order;center;city;country;important;administration;friday;law;may;take;news;winning;federal;campaign;place;week;justice;nothing;man;bbc;case;putin;washington;twitter;parks;says;leaders;vladimir;planning;thank;across;morning;copy;greatly;st;transcript;tremendous;cost;45;vote;bush;send;michigan;truth;labor;final;despite;saw;wanted;white;victory;russian;job;controversial;information;women;love;100;economy
president;0;2;4;6;6;4;8;0;0;2;2;2;0;0;4;4;0;0;6;0;2;2;6;0;0;0;2;2;2;0;2;2;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;4;0;4;0;2;0;2;2;2;2;2;0;0;0;2;4;0;0;0;0;2;4;2;2;0;2;4;0;2;4;0;0;0;0;2;2;2;0;0;4;2;0;0;0;4;4;4;2;2;0;2;0;0
great;0;0;2;0;0;0;4;0;2;8;2;0;2;4;2;2;2;2;0;0;0;0;2;4;2;0;2;0;2;2;2;2;0;0;4;0;0;2;0;2;2;2;0;0;4;2;2;2;0;0;2;0;0;0;2;2;0;0;2;6;0;2;0;2;0;0;0;2;0;0;4;2;0;0;4;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;2;4;0;0
states;0;0;0;18;2;2;0;2;4;6;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0
united;0;0;0;0;2;4;2;2;4;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;2;4;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0
people;0;0;0;0;0;4;2;0;2;2;0;2;0;2;2;4;0;0;2;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;2;0;2;2;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0
new;0;0;0;0;0;0;4;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;2;0;2;2;0;2;0;2;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2
trump;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;4;0;2;2;2;4;0;0;2;2;0;0;4;0;0;2;0;0;0;0;0;0;0;2;4;0;0;4;2;0;0;0;2;0;0;0;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0
billion;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;2;2;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0
