;#investiniowaact;iowa;great;health;state;thank;conversation;quality;#opportunityliveshere;support;town;help;center;people;iowans;talk;appreciate;working;everyone;iowas;mental;outstanding;congratulations;opportunities;2020;#iowastem;welcome;care;important;hall;efforts;build;discuss;forward;association;expand;braved;lot;public;rural;todays;feb;honoring;education;life;vietnam;continue;generation;jobs;recovery;next;elected;advocates;thanks;states;leadership;governors;local;role;week;@potuss;proud;morning;success;spoke;celebrate;partner;districts;costs;leaders;future;officials;@epa;meeting;grundy;flood;water;tonight;ottumwa;sonya;ia;highlighting;wager;job;invests;promote;americas;recognized;library;commemorate;ag;outcomes;tech;hold;quickly;@senjoniernst;regional;school;services;#fundthetrust
#investiniowaact;0;4;8;4;0;6;12;4;0;6;8;4;4;6;2;8;4;2;4;0;4;2;0;0;0;0;0;0;2;6;2;2;0;2;2;0;4;4;2;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;2;0;0;0;0;4;0;4;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0
iowa;0;0;2;8;4;6;2;2;2;0;0;2;0;2;4;2;2;2;2;0;4;0;2;4;4;0;2;4;2;0;2;6;2;2;6;4;0;0;0;2;2;4;4;0;2;2;2;2;2;0;2;2;2;0;0;2;2;0;0;2;0;2;2;2;4;0;4;0;0;4;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;2;0;0;2;0;0;2;0
great;0;0;0;2;2;2;10;2;4;4;0;0;2;2;0;0;6;2;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
health;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;6;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0
state;0;0;0;0;0;0;2;2;2;0;0;2;2;2;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0
thank;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
conversation;0;0;0;0;0;0;0;2;0;4;0;0;2;2;0;0;6;2;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
quality;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;4;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0
#opportunityliveshere;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;4;2;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
town;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
