;senate;democrats;american;house;act;businesses;americans;bipartisan;coronavirus;workers;program;help;people;nation;families;work;country;protection;week;impeachment;paycheck;crisis;stand;republicans;new;cares;president;discuss;partisan;funding;continue;senates;together;relief;across;health;proud;legislation;kentucky;working;support;cannot;historic;state;national;states;emergency;kentuckians;pandemic;strong;healthcare;trial;washington;jobs;world;hope;political;pass;urgent;speaker;bill;leaders;economic;put;united;take;great;bold;federal;economy;process;statement;protect;joining;serious;colleagues;money;passed;response;professionals;heroes;trump;case;local;joined;icymi;deserve;steps;democratic;administration;weeks;thank;tune;job;medical;america;security;brave;package;legal
senate;0;70;58;60;46;34;14;42;32;40;14;30;22;26;34;26;22;12;32;22;12;26;12;38;18;24;26;28;18;8;12;18;10;22;10;12;12;22;2;16;14;8;16;6;14;6;8;4;14;8;6;20;10;6;0;12;4;22;16;14;12;2;20;12;4;8;4;20;4;8;16;8;6;14;10;12;10;18;14;6;6;10;14;2;14;14;6;10;10;12;10;6;14;2;12;6;10;2;16;12
democrats;0;0;18;52;10;12;16;24;10;10;26;6;14;0;2;8;10;22;16;22;24;18;2;14;8;4;14;8;18;14;10;10;4;6;4;2;2;0;0;2;8;4;6;0;2;2;6;0;4;0;4;4;6;12;0;10;16;10;6;8;10;2;2;4;0;4;2;2;6;2;10;2;0;6;4;4;10;2;6;4;0;6;12;0;2;2;4;0;4;6;14;0;6;2;4;0;0;0;2;8
american;0;0;0;14;28;18;6;22;6;28;10;16;44;24;20;14;14;12;12;8;10;8;8;18;22;14;6;4;8;6;10;8;6;2;6;6;14;16;4;4;10;6;10;4;6;10;10;2;8;6;8;0;4;8;6;12;14;6;6;2;4;2;8;10;6;6;6;8;0;2;4;4;10;0;2;2;2;6;4;6;14;0;0;4;4;4;20;6;2;2;4;6;0;4;6;6;2;8;12;4
house;0;0;0;0;10;6;4;6;10;6;2;4;12;4;2;8;4;2;8;24;2;8;8;4;4;4;12;4;14;0;8;8;2;4;2;0;2;6;0;2;6;4;4;0;2;6;0;0;4;2;2;6;2;0;0;0;4;4;4;8;4;2;0;2;2;0;0;4;0;4;4;4;2;4;4;2;0;4;4;0;0;6;14;0;0;0;4;4;0;2;12;0;4;6;2;0;2;0;4;6
act;0;0;0;0;0;22;10;22;18;16;8;14;8;6;20;4;12;8;12;0;6;10;0;18;6;50;0;8;0;10;6;10;6;12;6;6;10;10;6;6;6;0;18;2;2;6;12;6;2;2;14;0;4;8;2;6;2;8;4;0;8;2;14;10;0;2;4;8;2;2;2;0;0;2;6;6;6;8;6;4;0;0;0;2;6;6;2;2;6;4;0;0;2;0;4;4;12;2;6;4
businesses;0;0;0;0;0;0;18;14;8;30;16;20;4;6;26;6;8;18;8;0;16;8;4;10;4;16;2;2;2;10;10;6;2;16;12;6;4;8;8;8;10;4;10;0;4;4;12;0;2;4;10;4;2;6;0;0;2;4;10;0;4;4;6;4;2;0;0;14;0;8;2;2;2;0;4;0;0;2;2;4;0;2;0;4;2;2;0;0;4;2;0;0;0;4;12;4;4;2;4;8
americans;0;0;0;0;0;0;0;4;4;6;14;12;4;8;6;8;2;12;10;0;16;12;6;8;2;4;2;0;6;10;4;0;6;6;0;4;4;6;0;2;18;4;4;2;6;0;12;0;0;0;8;0;2;14;2;4;2;4;6;4;4;6;4;2;0;2;2;6;0;4;2;0;4;0;0;4;12;4;2;2;0;2;0;4;0;0;0;4;2;0;4;0;0;0;0;0;2;2;2;0
bipartisan;0;0;0;0;0;0;0;0;16;6;14;8;10;6;10;6;6;10;12;4;10;0;4;8;6;8;2;0;6;14;4;2;10;10;4;10;2;10;0;6;8;2;2;2;2;0;2;0;2;6;4;6;0;4;6;10;0;8;6;8;4;2;6;6;0;4;4;12;0;6;2;6;0;0;0;4;6;4;2;6;0;2;0;0;0;0;6;6;4;8;2;0;0;0;8;0;6;0;6;0
coronavirus;0;0;0;0;0;0;0;0;0;6;0;10;2;6;10;8;0;0;10;2;0;10;0;10;4;6;2;18;2;8;8;10;10;18;4;10;4;8;6;10;6;2;6;10;10;2;4;2;4;4;8;0;4;2;2;2;0;8;4;8;8;4;14;2;0;2;2;4;4;2;0;2;2;8;4;2;0;8;14;12;0;0;0;6;8;8;2;0;2;8;0;2;10;0;4;4;12;2;6;2
workers;0;0;0;0;0;0;0;0;0;0;10;12;6;6;28;0;6;8;10;2;6;12;6;18;4;10;2;8;0;6;6;4;2;10;14;14;4;6;6;6;10;6;2;0;2;0;6;4;4;4;10;2;6;2;0;2;4;2;2;0;2;2;6;4;0;2;0;2;0;8;4;0;2;2;2;2;6;0;0;2;0;2;0;0;6;6;4;0;4;2;0;0;2;2;8;4;0;4;4;10
