;states;united;great;new;working;trump;news;americans;amazing;government;people;president;american;military;proud;man;love;season;house;fake;court;washington;presidential;generation;greatest;thank;justice;campaign;state;mark;decision;federal;escape;nfl;worst;article;place;high;calls;china;four;1;win;world;york;announce;city;west;second;best;placed;video;percent;2;announced;fed;chargers;dangerous;life;nations;week;left;call;human;hard;country;county;san;looking;intel;gets;absolutely;ready;former;young;combat;may;army;rights;loves;enforcement;secret;department;latest;shot;deal;action;post;sharing;use;death;supreme;administration;russia;incredible;join;family;report;attack;league
states;0;32;6;6;6;0;0;0;2;2;6;6;4;2;4;0;6;0;2;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;4;0;2;2;2;0;0;0;0;4;2;2;0;0;0;0;4;2;2;4;0;0;2;2;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;6;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0
united;0;0;4;6;6;0;0;0;2;2;6;8;4;2;4;0;6;0;0;0;0;2;0;0;4;0;2;0;2;0;2;0;0;0;0;4;0;2;2;4;0;0;0;0;4;2;2;0;0;0;0;4;2;2;4;0;0;2;2;2;0;0;2;2;2;2;0;0;0;0;0;0;0;2;0;6;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0
great;0;0;0;2;4;2;0;2;6;0;6;0;2;2;0;2;4;2;2;0;2;0;2;2;6;4;0;2;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;2;2
new;0;0;0;0;8;2;4;0;0;0;2;2;0;0;2;0;0;0;2;2;0;2;0;2;0;2;2;4;6;2;0;0;0;0;0;2;0;2;0;0;0;0;4;0;8;2;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;0;2;2;2;2;0;2;2;0
working;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;2;0;2;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;4;2;2;0;0;0;0;2;2;2;0;0;0;2;0
trump;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;4;0;0;0;0;6;0;0;0;6;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;8;0;0;2;0;0;2;0;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;4;0;0
americans;0;0;0;0;0;0;0;0;2;2;0;2;2;0;4;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
amazing;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;2;6;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0
government;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
