;montana;montanans;covid19;continue;testing;home;stay;health;virus;care;state;protect;together;reopen;another;communities;phase;community;spread;montanan;capacity;workers;take;families;neighbors;help;montanas;across;face;family;rural;distancing;thank;supplies;vulnerable;crisis;economy;especially;slow;begin;difficult;responders;public;able;plan;forward;due;reminder;stores;friends;masks;grocery;life;hear;asking;may;prevent;loss;lives;curve;person;reopening;part;still;april;actions;social;fellow;phased;join;remain;death;response;cloth;schools;gradual;access;move;start;learned;healthy;vigilant;staff;precautions;safety;facilities;grateful;ramping;measures;residents;important;work;ensure;economic;surveillance;fight;directive;heart;bars;looking
montana;0;18;24;14;4;6;6;10;10;8;10;10;4;4;10;8;4;12;6;8;4;4;4;8;4;6;4;8;4;8;4;2;6;0;8;2;4;2;4;2;4;0;2;0;4;6;8;6;0;4;2;0;6;2;0;2;4;6;2;4;2;0;2;2;0;4;2;6;0;2;2;6;4;0;2;0;4;2;0;6;2;2;2;2;4;0;2;2;2;4;2;2;2;4;0;4;2;2;0;2
montanans;0;0;16;8;2;6;6;8;6;4;10;12;8;8;6;10;6;8;12;10;2;2;8;2;8;2;2;2;10;6;2;4;8;0;6;8;2;4;6;4;2;2;6;2;4;2;0;2;4;2;0;4;4;2;4;2;2;4;4;0;2;2;4;2;0;6;4;4;2;4;0;2;0;2;0;0;2;0;6;2;2;4;0;4;2;0;2;0;2;2;2;4;0;4;0;4;0;4;2;4
covid19;0;0;0;8;2;2;0;8;6;4;4;8;2;0;6;10;0;10;10;8;0;2;4;6;2;4;4;2;2;8;2;0;8;0;6;0;0;2;8;0;2;2;2;0;0;0;8;4;0;2;2;0;4;4;4;0;4;6;0;0;0;0;2;0;0;2;0;4;0;2;0;6;6;0;2;0;2;0;0;6;0;0;0;2;2;0;2;0;2;0;2;4;2;4;0;6;2;4;0;0
continue;0;0;0;0;6;2;2;4;6;6;6;8;2;2;2;4;2;4;4;2;2;2;4;2;2;2;2;2;2;2;2;2;0;4;6;4;0;0;2;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;4;2;0;4;0;0;4;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;2;2;2;2;0;4;0;2;2;2;2;2;0;2;0;0
testing;0;0;0;0;0;0;0;2;4;0;6;0;0;2;2;2;2;2;0;0;10;2;0;0;0;4;2;0;0;0;0;0;0;6;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;2;2;0;4;0;0;0;0;0
home;0;0;0;0;0;0;20;8;4;10;2;4;2;4;0;6;4;4;4;0;2;8;2;2;2;2;2;2;2;0;6;2;0;2;4;0;4;0;4;4;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;0;0;4;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;4;0;2;0
stay;0;0;0;0;0;0;0;6;4;8;2;4;2;6;0;6;4;4;4;0;0;8;2;2;2;0;2;2;2;0;6;2;0;2;4;0;4;0;2;6;0;2;0;4;2;2;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;2;0;2;4;0;2;0;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0
health;0;0;0;0;0;0;0;0;2;12;4;8;0;0;0;10;0;4;4;0;2;12;2;4;0;4;2;0;6;0;4;0;2;2;0;4;2;2;4;2;0;4;4;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;4;2;0;0;2;2;2;2;4;4;2;4;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;6;8;4;0;6;4;0;2;8;10;0;6;0;8;4;4;4;0;2;0;2;2;2;4;0;2;0;0;0;2;2;0;0;0;4;0;0;4;4;2;0;0;2;2;0;2;0;4;0;0;2;2;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;4;6;2;2;0;4;0;6;4;0;2;10;6;2;4;2;0;4;6;0;6;0;0;2;2;4;0;0;4;0;0;4;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;2;2;2;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0
