;trump;president;great;united;people;states;new;federal;national;party;government;american;house;obama;news;state;republican;administration;russia;man;democrats;election;best;white;left;working;world;donald;big;security;history;love;2016;good;thank;story;department;york;washington;fbi;job;senate;bill;radical;court;military;supreme;campaign;country;may;health;help;vote;america;former;year;committee;fake;china;amazing;article;second;act;presidential;media;city;democrat;women;says;nothing;police;americans;2015;released;power;post;another;hard;announce;least;trying;reserve;fact;money;senator;huge;wonderful;investigating;law;strong;million;usa;team;justice;head;reason;border;times;months;bernie
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;2;0;2;2;8;4;2;0;2;4;0;0;2;6;0;2;0;2;0;2;6;0;0;0;2;0;0;2;2;0;2;2;2;2;2;6;2;0;0;2;4;2;0;2;0;2;4;2;2;0;2;0;2;4;0;0;0;4;0;0;0;0;2;0;0;4;0;10;0;0;0;2;2;2;4;0;0;4;0;4;0;2;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;2;0;2;6;4;0;0;4;2;0;2;0;0;10;4;4;4;2;0;2;0;4;4;0;2;2;4;4;4;4;0;2;0;2;0;2;2;0;0;6;2;0;0;0;0;4;2;4;0;2;2;0;0;0;2;0;2;0;0;4;0;0;4;4;2;2;2;2;2;0;0;2;0;4;2;2;6;0;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;10;2;8;2;8;8;2;42;10;10;0;4;4;6;2;0;2;0;4;0;4;2;4;0;4;8;2;8;0;0;0;4;4;4;2;2;2;0;6;2;4;0;2;0;4;4;4;0;2;0;6;0;0;2;0;0;0;0;2;0;4;0;2;4;0;2;2;0;0;0;2;4;0;2;0;2;0;2;2;0;0;4;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;6;46;6;2;0;6;4;4;0;2;0;0;8;2;0;0;8;0;0;4;4;2;2;4;2;2;0;2;2;4;2;10;0;4;2;8;4;0;6;0;0;2;2;0;4;2;2;6;4;0;0;0;2;4;0;6;2;2;2;0;2;2;2;0;2;0;0;2;0;0;0;4;0;0;4;2;0;2;4;0;2;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;6;2;4;0;6;4;4;0;0;0;2;2;4;0;0;2;2;6;4;4;4;0;2;0;2;2;0;2;0;4;4;2;0;2;2;0;0;0;4;30;2;0;2;0;2;0;10;0;2;4;0;0;0;0;0;0;0;0;4;0;4;0;4;2;4;2;0;2;4;2;0;0;0;4;0;2;2;4;2;2;2;4
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;2;4;4;2;0;2;2;0;8;2;0;2;2;2;2;2;4;4;6;2;2;2;2;0;4;0;4;2;2;2;0;4;4;2;0;2;2;0;0;0;0;2;2;2;0;4;2;4;4;0;6;0;0;4;2;0;0;0;4;2;0;0;0;2;2;2;0;2;2;4;2;0;0;0;0;2;0;0;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;8;0;6;8;2;0;6;6;0;4;2;0;4;2;0;0;4;8;4;2;4;2;6;2;0;2;4;2;2;0;2;4;2;2;4;6;2;0;0;0;2;0;6;0;2;0;0;0;0;2;0;2;2;2;2;2;2;0;2;0;2;0;2;4;0;2;4;0;4;4;0;0;2;2;0;2;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;6;4;0;0;2;0;0;6;0;0;0;8;0;0;4;2;0;0;4;2;2;4;2;0;4;0;4;0;2;2;8;4;4;4;2;0;2;4;0;2;0;2;2;4;0;0;0;2;2;0;0;0;2;4;0;2;2;4;0;2;2;2;2;0;0;0;4;2;0;4;4;0;2;2;0;4;0;4;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;12;2;4;2;2;0;6;0;0;2;0;14;2;0;0;6;2;0;4;0;2;0;2;0;0;0;12;2;4;0;2;2;2;6;0;8;2;2;0;2;0;2;10;4;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;6;4;0;0;0;0;6;0;0;0;2;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;2;0;0;4;0;2;2;2;0;4;0;0;8;2;0;0;0;0;2;2;0;0;2;0;2;4;4;0;2;4;0;2;0;2;0;4;4;0;0;0;2;2;0;0;2;0;10;4;0;2;0;0;2;0;4;2;0;0;4;0;0;2;2;4;2;0;0;0;0;0;2;0;0;0;0;0
