;rhode;ri;island;school;students;testing;support;learning;state;gun;phase;work;program;racism;lgbtqia;return;information;covid19;violence;riers;distance;theyve;important;community;please;committed;everyone;end;2;summer;public;working;crisis;continue;social;thank;sites;fight;safe;different;visit;asymptomatic;month;@rihealth;fall;pawtucket;individual;outdoor;opportunity;set;district;coronavirus;throughout;months;available;dining;updates;lot;proud;workers;response;hand;free;kindness;seen;fully;reopening;help;able;fighting;remain;stop;sign;institutional;virtual;follow;employees;2228022;announcing;across;sanitizer;victory;ensure;distancing;parking;listen;needs;tell;restaurant;ive;ave;landlords;office;funding;river;challenge;recognize;todays;shop;safely
rhode;0;0;16;0;0;0;0;2;2;2;0;4;0;4;2;0;0;0;2;0;0;0;0;4;0;2;2;4;0;0;2;2;4;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;4;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0
ri;0;0;0;2;2;0;4;4;4;2;0;0;4;4;0;0;2;4;2;0;2;0;2;0;2;2;0;0;0;4;2;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0
island;0;0;0;0;0;0;0;0;2;2;0;4;0;4;2;0;0;0;2;0;0;0;0;4;0;2;2;4;0;0;2;2;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
school;0;0;0;0;8;0;4;6;0;0;0;0;2;0;0;8;0;0;0;0;4;0;0;0;2;0;2;0;2;4;4;0;0;2;0;0;0;0;2;4;2;0;0;0;2;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;4
students;0;0;0;0;0;0;4;6;0;0;0;0;2;0;0;6;0;0;0;0;4;0;0;0;0;0;0;0;0;4;4;2;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4
testing;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;8;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;4;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;2;0
support;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;2;4;4;0;6;0;0;0;0;2;0;0;2;0;4;4;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2
learning;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;8;0;0;0;0;0;2;0;0;2;2;2;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
state;0;0;0;0;0;0;0;0;0;2;0;4;0;6;0;0;0;0;2;0;0;0;2;2;2;4;0;4;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;4;0;0;0;0;2;2;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0
gun;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;6;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
