;missouri;#missourisots;state;workforce;new;development;year;million;infrastructure;proud;continue;great;states;working;members;business;best;administration;military;work;government;jobs;another;community;missouris;job;health;people;school;president;st;program;thank;communities;nation;hard;veterans;county;together;system;part;city;forward;rate;funding;dollars;thanks;team;honor;education;agriculture;#weservemo;call;children;help;spouses;support;governor;investment;#missouriproud;trade;home;fire;violent;early;governors;improve;growth;unemployment;louis;annual;billion;without;#missouriforward;across;services;2020;capitol;week;good;@firstladyteresa;honored;celebrate;farmers;women;legislative;citizens;programs;future;industry;bridge;missourians;chiefs;@chiefs;students;leadership;leaders;transportation;event;making
missouri;0;28;36;8;10;6;10;10;4;12;12;14;18;14;16;18;18;12;14;12;10;8;2;4;12;12;4;6;4;6;6;2;4;0;14;8;10;6;0;4;8;4;10;8;4;2;10;10;12;6;6;6;2;2;10;8;4;6;6;2;6;8;6;0;6;6;6;12;10;4;4;6;2;8;6;6;2;2;0;6;0;2;0;6;2;2;0;4;2;6;4;6;2;2;0;4;0;0;4;2
#missourisots;0;0;32;24;12;14;12;14;16;6;4;0;10;16;6;2;4;6;6;8;14;8;12;10;0;4;6;8;8;0;8;8;6;12;6;4;4;0;12;8;8;4;0;4;6;2;2;0;2;8;0;6;8;4;8;2;4;2;4;0;0;2;0;10;4;0;6;2;4;8;0;6;4;0;0;4;0;0;2;0;0;0;4;0;6;4;2;0;6;0;8;4;0;0;4;6;2;6;2;6
state;0;0;0;12;6;6;10;4;6;6;4;6;6;8;12;4;6;6;6;6;12;4;0;6;4;4;2;2;0;2;4;4;2;2;4;6;8;4;8;0;4;6;4;0;2;2;2;6;8;0;0;8;2;0;4;0;0;4;6;6;2;6;4;4;0;2;2;0;0;4;4;4;4;0;4;0;2;6;2;2;0;4;0;0;0;0;4;0;2;0;4;4;0;0;0;2;2;0;0;2
workforce;0;0;0;0;12;28;10;4;18;6;8;6;4;8;4;4;2;8;4;4;4;4;2;2;6;0;0;6;6;6;2;8;4;4;2;4;0;0;0;4;0;2;2;0;8;2;2;0;0;8;0;2;6;4;0;2;2;0;4;2;0;0;0;0;6;2;4;0;0;2;2;2;4;4;4;2;6;2;4;2;0;2;2;0;2;4;0;0;4;0;2;0;0;0;4;2;2;2;2;4
new;0;0;0;0;0;6;6;4;8;0;2;6;6;2;0;4;4;0;0;2;0;8;0;0;0;2;2;2;2;0;0;4;0;0;0;2;0;0;2;0;2;0;4;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;6;2;0;2;0;0;4;0;2;2;0;0;0;4;2;4;0;0;0;0;2;2;2;0;2;2;0;2;0;0;4;0;2;0;0;0;2;2;0;0;0;0
development;0;0;0;0;0;0;10;6;16;0;4;4;4;4;2;0;0;6;0;2;4;0;2;4;0;0;2;4;0;2;2;0;2;4;0;2;0;0;0;2;0;4;2;0;6;0;0;0;0;6;0;0;4;4;0;0;0;0;4;2;0;0;0;0;8;2;2;0;0;0;2;2;2;4;2;0;2;2;2;2;0;0;2;0;0;4;4;0;2;0;0;0;0;0;0;0;4;2;2;4
year;0;0;0;0;0;0;0;4;8;2;6;2;4;6;0;0;2;6;0;4;2;2;2;0;2;2;2;4;2;0;0;4;2;2;0;0;2;0;2;0;6;0;6;0;0;2;0;0;2;2;0;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;2;4;2;0;2;0;4;2;2;0;2;0;0;0;0;0;2;0;2;2;0;0;0;2;2;4;0;0
million;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;4;6;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;4;4;0;2;0;2;6;0;0;0;0;0;2;0;6;0;0;0;0;6;0;2;0;0;0;6;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0
infrastructure;0;0;0;0;0;0;0;0;0;2;10;0;6;4;0;2;0;4;0;2;4;0;2;2;0;2;0;2;0;0;2;0;4;4;0;2;0;0;4;2;0;2;4;0;4;0;0;0;0;6;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;4;4;4;2;4;2;6;0;2;0;0;0;0;0;0;2;2;2;0;0;6;0;0;0;0;0;0;4;0;4
proud;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;2;2;0;2;2;0;2;0;2;0;2;2;0;0;0;0;4;2;0;2;0;2;0;2;0;0;2;2;0;0;2;0;2;0;0;4;6;0;2;2;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;2;0;0;2;0;4;0;0;0;0;4;4;4;0;0;2;0;0;0;2;0
