;great;democrats;thank_you;president;@foxnews;house;iran;people;big;american;party;impeachment;democrat;senate;impeachment_hoax;military;trump;schiff;usa;republican;do_nothing_democrats;history;congress;strong;best;job;dems;republicans;state;country;left;election;another;radical;china;united;trade;win;world;crime;unfair;economy;high;states;ukraine;america;transcripts;shifty;working;nancy;@foxandfriends;record;good;fake_news;corrupt;partisan;dollars;witnesses;case;deal;john;bernie;hoax;media;cryin_chuck;court;numbers;jobs;texas;vote;money;hard;trial;americans;totally;hit;iranian;endorsement;soleimani;border;crazy;political;wall;question;aid;pelosi;future;killed;witch_hunt;love;national;federal;است;approval;loves;anything;mini_mike;market;hope;watch
great;0;6;16;0;8;0;0;32;12;10;2;2;14;0;0;20;10;0;10;8;6;4;8;6;2;36;4;6;20;6;4;4;2;2;8;2;2;6;8;2;0;0;0;4;0;12;0;0;2;2;2;4;12;10;2;0;2;0;0;2;2;0;0;4;4;6;0;4;4;8;2;0;2;2;4;2;0;6;0;4;2;4;2;0;0;2;2;0;0;10;10;6;0;0;4;0;0;0;2;2
democrats;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;2;2;6;4;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thank_you;0;0;0;2;2;0;0;4;2;2;6;0;0;0;0;6;2;0;0;10;0;6;0;0;0;4;0;0;2;0;2;0;2;2;2;4;0;4;0;4;0;0;0;4;0;0;0;0;6;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;4;2;4;0;6;0;0;0;0;0;0
president;0;0;0;0;0;0;0;4;2;2;2;2;2;0;0;0;4;2;2;0;2;8;2;0;0;4;0;2;2;0;4;0;0;4;4;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
@foxnews;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4
house;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
iran;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;16;6;0;0;2;0;0;14;2;0;8;4;2;2;10;6;0;8;0;6;12;8;0;6;8;0;14;4;0;6;0;0;0;0;0;4;0;4;0;0;6;0;0;0;6;12;6;0;0;0;2;2;0;0;0;10;0;0;0;4;0;2;0;6;0;0;8;0;0;10;0;6;4;6;2;0;2;0;0;4;0;8;4;8;0;0;4;2;0;0;0;0
big;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;6;8;2;2;2;4;4;4;2;2;6;8;4;2;2;0;0;2;0;10;0;6;0;0;0;4;0;0;0;0;0;0;0;4;6;4;0;0;2;0;0;2;6;0;0;4;0;6;4;2;4;8;2;4;0;0;2;2;0;4;0;6;2;2;2;0;2;0;0;0;0;4;2;6;0;0;0;0;0;4;0;0
american;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;2;0;0;2;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;4;0;0;0;0;0;0;0;6;0;0;6;4;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;4
