;people;united;president;states;trump;great;house;world;national;beautiful;former;party;security;fbi;state;justice;called;thank;thing;friend;hillary;may;republican;working;washington;clinton;country;death;campaign;2016;beginning;proud;votes;senator;administration;used;system;investigating;america;military;department;asked;thousands;power;houston;broken;shooting;voted;early;school;fighter;picture;fact;new;strong;joe;russia;involved;designed;immigration;foreign;donald;repeatedly;election;put;bernie;alabama;countries;attack;good;win;job;given;million;nothing;taking;history;hard;obama;book;article;media;usa;secretary;autopilot;@;silence;law;democrat;vets;senate;war;kingdom;built;outage;wonderful;released;account;democrats;bart
people;0;6;0;6;2;4;0;0;2;0;2;2;2;2;2;2;2;2;0;0;0;2;0;2;4;2;4;0;0;0;0;0;0;2;0;2;4;0;6;0;0;2;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;0;4;0;2;0;0;0;2;2;2;0;2;0;4;2;2;4;0;2;4;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0
united;0;0;2;22;2;2;0;4;2;2;2;0;4;0;4;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0
president;0;0;0;2;10;2;2;0;2;0;4;0;2;2;2;0;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
states;0;0;0;0;2;2;0;4;2;2;2;0;4;0;4;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0
trump;0;0;0;0;0;0;4;0;4;0;6;0;4;2;0;0;2;0;4;0;0;0;2;0;4;0;0;0;6;4;2;0;0;0;2;4;0;4;0;0;0;2;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;6;2;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0
great;0;0;0;0;0;0;2;2;0;0;0;4;0;0;2;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;4;0;4;2;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;2;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
world;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
national;0;0;0;0;0;0;0;0;0;0;6;2;10;2;2;0;0;2;2;0;0;4;2;0;0;0;0;0;2;4;4;0;0;2;4;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0
beautiful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;2;4;6;2;0;2;0;4;0;4;0;2;0;0;4;0;0;2;4;2;0;2;0;0;0;0;6;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;8;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;4;0;0;0;0;2;0;2;2;2;0;0;2;2;0;0;4;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;4;0;0;2;0;4;0;0;2;0;0;0;0;0;0;0;0;4;0;0;6;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;4;0;0;2;0;0;2;2;2;0;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0
friend;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
