;minnesotans;covid19;minnesota;#stayhomemn;health;home;state;care;support;pandemic;together;#mnstrong;thank;help;work;lives;workers;proud;safe;#mnsots;new;ways;stay;continue;loved;neighbors;tune;making;minnesotas;ones;testing;take;community;forward;businesses;lets;sacrifices;front;people;communities;virus;line;find;unprecedented;crisis;social;challenge;save;folks;ensure;response;child;public;lost;local;protect;working;spread;year;family;ahead;update;cant;live;challenging;providers;masks;distancing;remember;safety;order;staying;stepping;healthy;#oneminnesota;tonight;responders;hard;without;decisions;states;important;great;minnesotan;times;creative;putting;stories;address;special;wellbeing;celebrate;challenges;happy;hope;weather;honor;fire;heartbreaking;daily
minnesotans;0;34;24;36;16;22;6;12;20;20;20;12;14;12;8;16;14;14;14;12;14;18;10;12;10;16;6;14;2;10;6;2;6;10;12;4;10;6;4;2;12;8;8;12;8;6;6;8;4;4;10;4;2;6;8;10;2;6;0;4;2;6;4;0;6;4;4;6;6;8;4;10;4;6;4;4;2;4;4;2;4;6;4;4;8;8;4;4;4;4;6;6;2;4;2;4;4;4;4;0
covid19;0;0;24;24;24;20;10;6;6;10;10;8;4;12;8;8;6;8;8;6;8;6;14;6;8;10;14;2;14;8;12;2;8;10;2;6;4;2;2;8;4;0;2;4;6;2;6;4;2;4;14;0;8;6;0;6;6;10;0;4;2;10;4;6;2;0;0;0;4;4;10;6;2;2;4;2;4;6;0;6;4;4;2;4;0;0;2;0;6;0;6;0;2;2;2;2;0;0;6;4
minnesota;0;0;0;18;12;10;6;10;2;6;8;6;4;10;2;6;4;8;4;8;8;2;2;10;2;4;6;2;4;2;14;8;8;8;2;8;2;2;6;4;8;2;4;6;4;4;6;2;6;2;2;2;2;6;4;6;4;4;2;4;8;2;6;4;2;2;4;4;2;0;0;4;2;2;4;0;2;2;2;2;8;2;2;6;4;2;0;2;2;0;2;2;4;0;4;2;2;2;4;0
#stayhomemn;0;0;0;0;18;22;0;10;12;12;12;6;14;2;6;18;8;4;14;0;6;10;10;10;6;10;2;10;0;6;0;10;4;2;2;10;8;0;0;4;6;4;2;4;0;4;2;10;8;0;4;2;4;6;6;4;6;8;4;4;6;2;10;0;4;2;2;4;4;8;4;8;4;8;2;2;8;4;2;2;4;2;0;4;2;2;10;2;0;2;2;4;0;0;0;0;2;0;4;0
health;0;0;0;0;0;6;2;16;6;14;6;6;8;8;4;6;14;6;6;0;4;4;2;4;8;4;8;2;8;6;4;2;4;8;0;2;2;2;4;4;2;6;2;0;2;0;8;2;2;4;6;0;12;0;0;6;4;2;2;4;4;6;2;4;2;0;0;0;0;8;0;2;2;0;0;2;2;0;2;4;6;0;0;4;0;0;8;0;0;2;8;4;6;2;2;4;0;0;0;2
home;0;0;0;0;0;0;6;4;2;2;4;0;6;4;4;8;6;0;10;2;2;2;22;6;6;4;4;4;8;6;2;4;0;0;2;6;6;2;2;2;0;2;2;0;0;4;2;8;2;0;2;0;2;4;0;2;8;4;2;4;4;4;4;2;2;0;2;2;4;0;12;12;2;4;0;0;4;2;0;2;0;0;2;2;0;2;2;0;2;0;0;2;2;0;0;0;0;0;2;0
state;0;0;0;0;0;0;0;4;4;2;4;2;2;8;2;2;2;0;2;8;0;0;6;2;2;2;8;2;4;2;2;0;2;4;2;0;2;6;0;6;0;0;2;4;4;0;2;2;2;0;2;2;2;2;2;2;2;4;0;2;2;2;0;4;0;0;2;0;0;0;2;0;0;0;4;2;0;4;0;0;0;2;0;0;0;0;0;0;8;0;0;0;2;0;0;0;0;2;2;0
care;0;0;0;0;0;0;0;0;10;6;0;6;8;12;4;6;18;8;4;0;4;0;0;6;0;2;2;2;6;0;2;2;0;2;2;4;4;6;0;4;2;4;0;2;0;0;2;2;2;6;0;10;0;0;2;2;4;2;0;0;4;2;4;2;0;8;2;0;0;0;0;2;4;0;0;0;2;0;0;0;4;0;0;4;0;2;2;0;0;2;0;2;2;0;0;4;2;4;0;0
support;0;0;0;0;0;0;0;0;0;18;6;12;8;6;8;2;10;4;4;2;6;4;0;6;2;4;0;4;2;2;0;0;0;0;6;2;2;6;0;4;0;6;0;4;2;0;0;2;6;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;8;4;2;0;2;0;0;2;4;0;0;0;4;0;0;2;2;0;0;0;2;2;4;0;0;2;0;2;0;2;0;0;0;2;2;0
pandemic;0;0;0;0;0;0;0;0;0;0;4;12;4;10;4;0;2;4;4;0;6;6;0;6;2;6;0;2;2;2;4;2;4;4;4;0;0;4;0;6;0;4;2;4;4;2;0;0;4;4;0;2;2;0;6;2;0;2;0;0;2;0;0;0;4;2;2;2;0;2;0;2;2;0;2;0;4;0;0;2;0;0;0;0;4;4;6;2;0;2;4;0;4;2;0;4;0;2;0;0
