;#covid19;south;dakota;update;help;latest;thank;@vp;live;stay;watch;updates;details;state;thankful;#flattenthecurve;afternoon;together;businesses;visit;w;strong;efforts;great;ct;information;tune;good;operations;learn;team;working;#flatteningthecurve;#coronavirus;happening;prepare;joined;center;new;health;news;love;give;create;leadership;congratulations;@potus;hot;emergency;diligent;neighbors;springs;briefing;press;plan;little;conference;life;spoke;coming;discuss;call;take;meeting;situation;legislators;received;spring;negatively;share;run;#covid_19;officials;line;disaster;families;@sddoh;feeling;facility;next;1;positive;@;hope;@sanfordhealth;@3m;general;support;economic;across;win;preparing;@averahealth;decision;ready;check;reopening;means;impacted;join
#covid19;0;30;24;30;10;14;8;6;14;12;14;12;10;8;8;8;4;2;6;2;6;2;6;2;10;2;8;2;4;4;4;4;8;2;8;2;2;4;2;2;2;0;4;0;4;0;6;0;4;4;4;0;4;6;2;0;6;0;4;2;6;4;2;6;2;2;2;0;4;2;2;0;4;0;2;0;0;2;0;4;0;0;4;0;4;0;2;0;4;2;0;2;4;0;0;2;0;4;4;4
south;0;0;36;10;4;6;8;2;6;2;6;10;4;2;2;2;4;4;6;2;4;2;2;4;4;0;2;2;4;6;2;4;4;4;0;2;4;2;2;4;2;0;2;2;0;0;0;0;2;2;2;0;0;2;4;2;2;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;0;0;2;0;0;2;2;2;2;2;2;0;0;2;0;0;2;0;2;2;2
dakota;0;0;0;8;4;6;8;2;4;2;4;10;2;2;2;2;2;4;2;2;4;2;2;4;2;0;0;0;2;6;2;4;4;4;0;2;2;2;2;4;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;2;2;0;2;2;0;0;2;0;0;2;0;0;2;2
update;0;0;0;0;2;6;2;2;12;2;10;2;4;2;0;0;2;0;2;2;0;0;0;2;8;2;6;0;2;2;0;0;0;0;2;2;0;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;4
help;0;0;0;0;0;0;4;4;0;2;0;0;0;4;4;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0
latest;0;0;0;0;0;0;0;0;0;2;2;4;4;4;0;2;2;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;4;0;0;0
@vp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;2;4;2;4;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0
live;0;0;0;0;0;0;0;0;0;4;6;2;0;0;0;0;2;2;0;0;0;2;0;0;6;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;2;0;0;4;2;4;0;2;2;2;0;0;0;0;2;4;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;4;0;0;2;4;0;0;4;0;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
