;trump;great;president;united;people;states;federal;new;former;house;university;government;big;american;history;state;campaign;working;reserve;white;good;department;vote;investigation;russia;administration;court;proud;night;national;end;man;article;show;thing;senator;low;york;wwe;complete;death;las;security;clinton;become;obama;vegas;pittsburgh;congress;thank;real;trying;think;hillary;rates;best;press;largest;republican;usa;information;approved;beautiful;jokeit;post;coming;election;happy;news;justice;hoax;minister;latest;though;strong;known;character;criminal;interest;tower;na;immigration;year;corrupt;play;committee;hard;north;huge;job;fed;sale;looking;season;matter;decision;education;friend;offline;support
trump;0;6;10;2;0;0;2;2;2;8;4;0;6;0;0;6;8;2;0;8;0;4;0;2;2;6;4;2;2;0;0;2;0;0;4;2;4;0;0;4;2;0;2;2;0;2;0;0;0;4;2;2;4;2;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;4;0;2;2;2;0;0;0;2;0;4;0;2;0;0;2;0;0;2;0;4;0;0;2;0;0;4;0;0;0;0
great;0;0;4;4;4;4;2;4;4;2;2;2;4;2;0;4;6;2;0;2;4;0;4;0;0;0;0;8;2;2;0;2;0;2;0;4;0;4;0;4;0;0;2;4;2;0;0;0;2;6;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;2;0;2
president;0;0;0;10;8;10;0;2;2;4;0;4;0;6;4;6;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;2;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0
united;0;0;0;0;2;22;0;0;0;2;2;2;0;0;6;2;0;0;0;2;0;4;0;0;2;0;2;0;0;4;2;0;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0
people;0;0;0;0;0;2;0;4;2;0;0;2;2;6;0;2;2;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0
states;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;2;0;0;0;0;0;4;0;0;2;0;2;0;0;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
federal;0;0;0;0;0;0;0;2;0;4;0;4;4;2;0;0;0;0;10;2;2;0;0;0;0;2;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2;8;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;0;0;0;2;4;2;2;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;2;4;2;4;0;0;2;0;0;0;0;4;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2
house;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;10;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
