kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD,kw_q1,freq_q1,kw_q2,freq_q2,kw_q2YTD,freq_q2YTD
insurance,2,journalism,1,brings,3,stand,1,victims,1,steps,1,#211colorado,6,2,5,7,2,#211colorado,6
prosperity,2,congress,1,12,3,household,1,dedication,1,real,1,cost,6,life,5,black,2,cost,6
states,2,use,1,coloradan,3,resource,1,grief,1,together,1,providing,6,confirmed,5,future,2,providing,6
address,2,specialists,1,city,3,printed,1,visit,1,mcclains,1,colorados,6,211,5,2020,2,colorados,6
families,2,navigate,1,driveup,3,asl,1,local,1,along,1,page,6,states,5,working,2,page,6
represent,2,gain,1,springs,3,reiterate,1,mask,1,criminally,1,march,6,local,5,precautions,2,march,6
comes,2,solutions,1,start,2,stress,1,prestigious,1,result,1,love,6,joined,5,service,2,love,6
issues,2,upon,1,woman,2,still,1,house,1,risk,1,school,6,lives,4,force,2,school,6
looks,2,covering,1,estado,2,630,1,individuals,1,@serenaforco,1,energy,6,cannabis,4,best,2,energy,6
affordable,2,photos,1,coverage,2,general,1,night,1,incredibly,1,week,6,co,4,salons,2,week,6
born,2,fighting,1,uninsured,2,hopeful,1,covid19learn,1,supreme,1,joined,6,communities,4,policies,2,joined,6
able,2,safety,1,colorados,2,school,1,tag,1,pathway,1,1,6,#colorado,4,lost,2,1,6
