;covid19;watch;state;stay;phase;#wegotthiswa;update;2;response;washington;people;counties;washingtonians;home;tune;safe;help;move;healthy;wa;virus;new;approved;contact;together;good;giving;230;businesses;guidelines;reopen;may;work;county;progress;protect;case;support;continue;health;live;without;another;start;1;order;lives;plan;fight;public;lets;across;please;destruction;still;honor;deliver;hard;take;nurses;ones;national;news;testing;helping;faith;capacity;call;beautiful;quickly;justice;service;approach;week;beat;toward;distancing;next;crisis;phases;practice;members;grateful;working;loved;trump;services;330;thanks;seattle;ask;fewer;eligible;tracing;talking;washingtons;apply;care;however;guard
covid19;0;26;22;0;2;4;26;2;28;2;0;0;6;0;6;6;6;0;0;2;2;0;0;4;2;0;8;6;2;0;2;2;2;0;0;0;6;2;2;4;6;0;0;2;4;0;0;2;4;4;2;0;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;2;0;2;0;2
watch;0;0;18;4;0;0;32;0;26;4;0;0;0;4;14;2;0;0;4;4;0;0;0;0;0;0;12;10;2;0;2;0;0;2;0;0;0;0;0;0;6;0;0;2;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;6;2;0;2;0;0
state;0;0;0;0;4;10;18;2;18;6;4;2;6;0;0;6;4;2;0;2;4;2;2;0;4;4;0;0;0;0;0;2;0;0;4;0;0;0;2;0;2;2;0;4;2;0;2;0;0;0;0;4;2;4;2;0;4;0;4;0;0;2;2;0;0;2;0;2;4;2;4;0;2;0;0;2;0;0;2;0;0;2;2;2;0;2;0;0;0;2;0;0;2;0;0;2;0;0;4;2
stay;0;0;0;0;2;6;4;2;0;2;4;4;6;22;4;2;2;4;18;0;4;2;0;0;6;0;2;2;0;0;4;4;2;2;0;0;0;0;4;0;0;0;2;2;2;8;0;2;2;0;2;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;4;0;2;2;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;2;0
phase;0;0;0;0;0;8;0;20;0;0;4;22;4;2;0;4;2;14;2;0;0;8;12;0;0;4;0;0;4;6;0;4;6;8;2;2;0;0;0;2;0;0;0;4;6;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;4;0;0;0;2;0;0;0;0;2;4;2;0;0;0;4;0;2;2;0;0;0;0;0;4;0;0;0;0;4;6;0;0;2;4;0;0;0
#wegotthiswa;0;0;0;0;0;0;0;6;0;4;2;6;10;6;0;4;4;2;4;4;2;2;4;2;8;6;0;0;4;4;4;2;4;0;6;0;2;0;2;4;2;0;4;4;2;0;4;0;4;0;2;2;2;0;2;0;2;2;8;0;0;0;4;2;2;0;2;0;6;0;0;0;4;2;4;2;4;0;4;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0
update;0;0;0;0;0;0;0;0;26;0;0;0;0;4;8;0;0;0;4;0;0;0;0;0;0;0;12;8;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0
2;0;0;0;0;0;0;0;0;0;0;2;20;0;2;0;0;0;10;2;0;0;6;10;0;0;4;0;0;4;6;0;4;6;6;2;0;0;0;0;2;0;0;0;0;4;0;0;2;2;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;4;6;0;0;0;4;0;0;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;0;8;4;2;0;0;0;0;0;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;2;2;0;0;0;4;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;0;0;4;2;2;0;0;2;0;2;0;2;0;2;0;4;2;2;2;2;0;0;0;2;4;0;2;0;0;0;2;2;2;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
people;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;4;0;2;2;2;2;2;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;0;2;0;2;4;2;2;2;2;2;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;2;4;2;0;0;0;0;2;2;0;2;2;4;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;4;0
counties;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;14;4;0;0;6;12;0;0;4;0;0;4;6;0;6;6;8;2;0;0;0;0;2;0;0;0;4;2;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;0;0;0;2;0;0;2;0;2;2;2;0;0;0;4;0;4;0;0;0;0;0;0;2;0;0;0;0;4;6;0;0;0;6;0;2;0
washingtonians;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;6;4;6;0;0;4;0;2;10;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;0;2;4;2;2;0;0;0;0;2;2;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;2;0;0;0;2;6;0;2;2;0;0;0;0;0;0;4;4;0;2;0;0;2;0;2;0;0;0;0;2;0;2;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;18;0;4;2;0;0;6;0;2;2;0;0;4;4;2;2;0;0;0;0;4;0;0;0;2;2;2;8;0;2;2;0;2;0;2;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;2;6;0;4;0;2;2;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;2;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;2;0;2;0;0;8;8;2;0;0;0;2;2;0;0;0;0;0;0;6;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;4;0;0;4;0;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;4;0;0;2;2;0;0;0;0;2;0;2;4;0;2;0;0;4;0;2;0;2;2;0;8;2;2;0;2;0;0;0;0;4;2;0;0;0;0;2;0;4;0;0;0;2;0;0;2;2;2;2;0;2;2;0;2;0;2;0;2;0;0;0;0;2;2;0;2;0;0;0;0;0;2;2;2;2;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;4;0;2;2;2;0;0;2;0;0;0;2;0;0;6;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;2;0;0;2;2;2;0;0;2;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;2;0;4;4;0;0;0;0;0;0;0;2;2
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;8;0;0;2;0;0;2;4;0;6;2;6;2;2;0;0;0;2;0;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;2;2;2;0;2;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;4;0;2;0
healthy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;2;2;0;0;2;4;2;2;0;0;0;0;0;0;0;0;2;2;2;8;0;2;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;4;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;2;2;0
wa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;2;2;2;2;0;2;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;2;0;2;0;4;2;0;0;0;0;2;0;0;2;0;0;2;0;2;2;0;2;2;0;2;2;0;0;0;4;0;0;0;2;2
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;4;2;0;2;2;0;0;0;0;0;2;2;2;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;4;0;4;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;4;0;0;0
approved;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;6;0;2;2;4;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
contact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;8;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;6;0;0;0;0;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;2;0;0;0;2;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;2;0;2;2;4;0;0;2;2;0;0;2;0;2;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0
guidelines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
reopen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;2;0;2;2;2;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0
county;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0
progress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;4;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0
