;china;president;speaking;trump;south;carolina;work;senate;tonight;support;democrats;news;american;fox;great;hall;primary;@realdonaldtrump;americans;vote;@seanhannity;decision;state;town;administration;republicans;economy;police;tune;states;republican;house;live;#covid19;general;people;national;democratic;flynn;governor;help;chinese;coronavirus;questions;forward;regarding;latest;party;hard;job;appreciate;hope;hong;united;country;afghanistan;reopen;businesses;virus;force;comes;world;new;order;business;senator;graham;media;congress;good;still;nation;sc;morning;committee;believe;days;working;family;ive;across;shut;medical;god;@senjudiciary;lives;markets;wet;members;close;spread;strong;federal;accountable;@joebiden;fight;health;radical;america;justice
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;4;2;2;0;2;0;0;6;0;2;0;2;0;0;2;0;0;8;0;0;4;2;2;2;0;0;0;6;4;2;0;2;2;0;2;2;0;0;0;0;4;2;4;0;0;0;0;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0
hall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;12;6;0;0;0;0;0;0;2;0;0;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;2;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
primary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;0;0;6;0;0;0;0;16;4;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;4;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
@realdonaldtrump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;4;2;0;2;0;2;0;0;0;0;0;2;2;2;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;8;0;0;2;2;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;2;0;0;0;0;0;2;0;0;0;0;2;6;4;0;0;0;0;2;4;0;2;2;0;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;2;0;0;2;2;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;4;0;2;2;0;0;0;4;0;4;0;2;2;2;2;0;0;6;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0
@seanhannity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;12;0;0;0;2;2;2;0;0;0;6;0;0;2;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0
decision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;2;0;2;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;0;0;2;4;2;0;0;0;0;2;0;2;2;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
town;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;0;0;0;0;0;2;0;0;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
