;help;people;government;canadians;care;workers;work;needs;health;everyone;canada;families;safe;new;support;indigenous;still;take;thank;cant;prime;democrats;racism;stay;cerb;minister;public;sick;#covid19;crisis;home;lives;liberals;meet;end;rent;together;country;act;police;family;federal;plan;pay;longterm;celebrate;communities;access;systemic;businesses;national;year;healthcare;across;job;companies;black;continue;canadian;lets;deserve;fight;chiefs;love;paid;stand;wage;call;asked;women;says;trudeau;month;loved;another;money;pharmacare;governments;universal;liberal;parents;good;hereditary;wetsuweten;action;taking;put;direct;away;jobs;violence;enough;days;working;lost;remember;wont;fighting;leave;left
help;0;64;52;46;20;20;24;32;18;26;10;18;6;20;8;6;22;10;4;20;6;20;0;12;22;10;10;6;10;10;16;4;20;8;2;10;2;0;4;0;2;10;12;18;4;4;6;8;0;18;0;6;2;0;6;16;0;8;10;8;2;2;4;0;2;0;14;0;8;4;8;2;10;4;4;8;8;6;18;6;2;12;2;2;2;4;4;16;12;6;4;0;10;6;4;0;6;8;6;10
people;0;0;46;30;20;18;30;18;18;18;12;14;20;18;18;16;22;10;10;22;14;16;10;14;14;14;6;8;4;6;8;8;18;6;12;10;8;10;18;6;0;8;14;14;2;8;8;20;6;8;8;6;10;12;0;8;8;4;4;10;2;8;6;12;8;6;6;8;10;10;2;2;6;4;8;6;4;4;6;10;0;8;4;2;8;10;8;14;4;4;6;0;4;12;6;6;12;6;6;8
government;0;0;0;24;14;26;24;36;6;12;8;8;8;8;14;12;12;10;2;12;2;4;4;10;10;4;8;6;10;2;8;4;4;6;6;14;0;10;16;6;0;18;10;18;8;0;4;14;6;10;10;2;6;4;8;10;0;12;4;2;6;2;4;0;6;6;12;2;10;10;4;0;6;2;8;4;4;0;8;14;10;6;2;4;4;2;10;2;6;6;0;10;2;6;4;0;2;2;6;4
canadians;0;0;0;0;14;6;16;20;8;12;10;14;8;8;16;4;10;6;6;6;8;6;2;8;12;6;4;6;4;10;8;6;18;4;0;2;2;8;0;0;2;6;8;8;2;6;10;6;0;6;0;6;0;8;14;8;6;12;6;6;4;4;0;4;4;0;4;0;2;0;2;2;8;6;2;6;8;10;8;6;2;2;0;0;4;2;6;16;2;8;0;0;6;4;10;0;4;2;4;0
care;0;0;0;0;0;24;22;0;32;2;10;6;10;8;8;2;0;28;6;4;0;2;2;8;2;0;4;8;22;14;4;6;2;4;0;4;12;8;0;0;0;6;2;4;24;2;4;4;0;4;10;2;8;0;6;2;2;2;2;6;10;0;0;0;6;0;0;6;0;2;2;0;0;4;8;4;4;8;0;0;12;6;0;0;2;10;0;4;4;4;0;2;2;0;2;0;0;2;6;0
workers;0;0;0;0;0;0;14;6;16;0;8;12;22;2;10;0;4;4;12;10;0;2;4;16;0;6;10;18;10;10;12;8;2;2;0;0;6;4;4;8;0;6;4;8;6;0;0;4;2;10;4;0;10;2;10;2;2;4;8;2;4;2;0;0;14;6;8;0;2;0;6;0;2;4;4;12;2;8;0;6;8;4;2;2;2;2;2;4;0;4;0;2;8;2;0;0;4;2;12;2
work;0;0;0;0;0;0;0;12;6;0;8;10;10;6;2;0;4;6;8;6;2;4;2;6;0;2;2;10;8;0;6;6;8;0;2;10;10;4;2;2;4;4;4;12;6;4;2;4;0;2;8;4;2;0;2;2;2;6;4;2;4;8;2;6;10;0;2;6;2;2;4;2;4;0;8;0;4;4;2;0;6;2;4;4;0;2;2;8;0;0;0;2;6;2;6;2;0;0;6;0
needs;0;0;0;0;0;0;0;0;0;14;6;4;2;4;6;10;8;2;0;8;14;4;6;2;16;12;0;6;2;2;8;2;4;4;8;2;0;2;4;4;0;4;8;10;0;0;4;10;8;2;2;0;0;2;0;0;2;4;0;0;0;0;4;0;4;4;0;0;4;2;2;4;6;2;6;2;0;0;8;4;4;0;2;4;2;2;4;2;6;2;2;4;6;0;0;0;2;2;4;4
health;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;4;0;4;6;2;2;0;4;4;0;2;12;4;16;4;4;8;4;2;2;2;6;0;4;2;2;2;2;0;6;0;6;6;2;2;2;0;8;0;0;0;2;2;4;6;0;0;0;2;4;0;0;0;0;0;2;0;0;2;2;0;4;4;0;0;2;12;0;0;0;4;6;2;2;2;0;0;2;2;0;0;0;0;4;2
everyone;0;0;0;0;0;0;0;0;0;0;6;6;8;14;2;2;12;2;2;4;2;12;4;2;12;2;0;2;0;0;0;4;4;2;4;0;0;2;0;0;8;0;2;4;0;2;2;10;0;0;2;2;0;4;4;0;0;4;4;0;2;6;2;2;2;0;2;2;4;2;0;2;4;2;2;2;8;0;14;2;2;2;2;0;0;4;0;0;4;0;4;0;0;2;4;0;6;8;0;4
canada;0;0;0;0;0;0;0;0;0;0;0;6;8;10;2;6;8;8;2;6;4;6;4;2;0;2;4;2;2;0;10;2;4;4;2;0;0;2;2;2;2;2;2;2;2;6;0;4;0;2;2;4;2;8;2;2;6;2;4;2;2;4;2;0;2;0;2;2;0;4;6;2;6;0;4;0;0;0;2;2;2;0;4;2;0;2;2;0;4;2;2;2;6;4;4;2;0;0;2;0
families;0;0;0;0;0;0;0;0;0;0;0;0;10;6;8;0;6;4;6;8;4;2;0;2;6;2;2;2;2;8;2;4;8;2;0;4;0;6;0;2;4;0;2;8;0;0;4;0;0;2;0;2;2;6;6;4;0;2;6;2;2;0;0;4;2;4;2;0;0;2;0;0;0;6;2;2;10;0;6;2;2;2;2;2;2;4;6;4;6;4;2;0;2;0;6;2;2;2;2;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;16;2;0;2;2;8;0;0;0;2;6;12;4;4;0;0;2;0;0;4;0;0;2;2;0;0;4;0;6;6;0;0;4;0;4;6;10;0;0;2;0;4;2;10;2;0;6;0;2;2;2;6;0;0;2;2;2;4;0;4;0;0;2;2;0;0;0;2;2;2;4;0;4;2;0;10;0;0;0;4;0;2
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;8;2;36;2;0;4;0;2;0;2;0;0;2;2;0;4;2;2;2;0;0;6;2;4;2;2;0;0;2;2;0;2;4;0;2;2;0;0;0;4;4;2;2;0;2;0;4;2;0;0;4;0;2;4;2;2;0;4;0;10;0;2;0;0;0;2;2;0;0;4;2;2;0;0;2;4;0;0;10;2;4
