;great;new;people;general;federal;white;support;department;president;house;technical;united;states;motors;trump;family;left;democrats;country;justice;media;good;world;man;investigation;fact;thank;republican;article;russian;bernie;news;former;huge;months;economy;short;looking;number;happened;fbi;reserve;children;health;killed;government;book;deal;loves;best;travel;10;hasnt;uk;greatest;campaign;love;american;shooting;working;points;immediately;calling;conference;important;build;largest;beautiful;radical;place;administration;top;seen;able;michigan;thing;california;ruled;iowa;amazing;anyone;year;police;favorite;nothing;national;obama;texas;hurricane;sanders;growing;history;sheep;voted;bureau;millions;life;order;take;possible
great;0;2;4;2;0;0;0;0;2;0;0;2;2;0;2;2;0;2;4;2;0;0;0;2;0;0;2;4;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
new;0;0;4;0;2;2;0;4;0;2;0;6;4;0;0;2;0;0;0;2;0;4;2;0;2;2;4;0;2;0;0;0;2;2;0;2;0;0;4;0;4;0;2;0;2;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;2;2;2;0;0;0;2;0;0;0;2;2;4;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;2;2;2;0;0;0;0
people;0;0;0;0;4;0;0;0;2;0;0;6;8;0;0;2;0;0;0;0;0;0;6;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
general;0;0;0;0;2;2;4;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;4;2;0;0;0;2;0;2;0;0;0;0;4;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;6;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;4;0;2;0;0;0
white;0;0;0;0;0;0;2;2;2;10;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;8;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;2;0;2;2;0;12;2;0;0;4;0;4;0;0;0;0;4;2;2;2;0;0;4;0;0;0;4;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;2;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
