;iowa;state;#covid19;thank;iowans;#investiniowaact;health;#opportunityliveshere;new;update;great;covid19;public;additional;@potus;work;spread;support;conference;emergency;2020;proclamation;signed;next;iowas;help;appreciate;positive;press;life;community;continue;year;people;future;cases;center;disaster;county;continuing;quality;thanks;care;incredible;working;holding;conversation;todays;services;morning;businesses;efforts;measures;proud;across;states;forward;part;act;test;opportunity;town;communities;critical;school;declaration;@futurereadyiowa;@iapublichealth;team;entire;hall;rural;build;grateful;providing;talk;full;limit;opportunities;capitol;food;outstanding;take;230;important;congratulations;1;provide;response;coronavirus;justice;reduce;students;supporting;decade;welcome;week;partner;schools;lets
iowa;0;28;14;12;24;10;20;14;16;12;16;14;8;6;12;8;10;8;8;8;14;6;6;10;2;2;12;6;6;6;8;12;6;4;2;6;2;6;6;0;4;4;4;8;6;2;2;2;2;10;4;6;4;6;6;2;2;2;8;12;4;2;2;4;4;0;6;6;2;8;2;8;12;4;0;2;6;4;10;12;2;2;0;0;2;2;6;2;4;4;2;2;6;4;2;4;6;4;6;2
state;0;0;12;2;10;6;16;14;16;14;4;10;14;16;0;2;0;2;10;18;6;8;6;4;6;2;2;8;8;6;0;4;0;2;2;8;10;2;0;8;4;0;0;2;2;4;2;2;2;8;0;0;4;0;2;2;0;6;0;0;0;2;2;2;2;10;0;0;2;4;2;2;2;2;4;2;0;0;0;12;0;2;6;0;0;0;2;8;2;4;0;2;2;0;4;0;0;0;0;0
#covid19;0;0;0;6;10;0;6;0;8;28;0;2;6;14;8;0;22;0;14;4;0;0;0;0;2;4;6;8;14;0;2;6;0;0;0;12;0;4;2;2;0;0;0;2;4;10;2;12;0;0;2;8;4;0;0;6;0;8;0;2;0;0;0;0;0;4;0;6;6;2;0;0;0;6;2;0;0;14;0;0;0;0;0;8;0;0;2;0;6;0;2;0;0;4;0;0;0;2;2;0
thank;0;0;0;0;2;16;4;2;0;0;4;2;2;0;10;10;4;6;2;2;0;0;0;0;6;4;2;0;0;0;4;4;0;2;4;0;2;2;4;2;2;0;2;8;0;0;0;0;2;2;0;4;0;0;6;4;2;2;2;2;2;4;4;0;2;2;0;4;0;4;4;0;4;2;4;4;2;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;4;0;0;2;2;0;0
iowans;0;0;0;0;0;4;10;8;0;2;4;4;6;8;0;10;2;4;0;4;8;0;0;12;0;4;6;4;0;2;2;6;10;2;4;4;4;0;2;2;2;4;2;0;4;0;0;2;6;2;0;2;2;2;0;0;0;4;6;4;4;0;0;2;2;2;8;2;0;0;0;2;2;2;2;0;4;0;6;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2
#investiniowaact;0;0;0;0;0;0;6;0;0;0;8;0;2;0;0;0;0;14;0;0;0;0;0;2;4;4;4;0;0;8;0;2;2;6;4;0;4;0;2;0;10;4;0;2;2;2;12;2;2;4;0;2;0;0;0;0;2;0;0;0;0;14;0;4;0;0;0;0;0;0;12;2;2;0;0;10;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2
health;0;0;0;0;0;0;0;2;18;0;2;2;30;10;0;0;4;2;2;22;0;18;16;0;2;0;2;0;0;2;2;4;2;0;0;0;2;10;6;14;2;2;8;2;2;0;2;0;6;0;6;2;10;0;0;0;0;0;4;2;0;0;0;4;2;10;0;0;0;0;0;2;0;4;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;4;2;2;0;0;0;0;2;0
#opportunityliveshere;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;2;0;4;2;0;6;0;0;10;2;0;0;0;0;2;0;2;2;4;4;0;2;0;0;0;4;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;4;6;0;4;0;4;2;0;0;4;0;0;0;0;0;4;0;0;2;0;0;6;0;0;2;4;0;0;0;0;0;0;0;0;4;0;0;8;0;0;2;0;2
new;0;0;0;0;0;0;0;0;0;10;0;4;16;12;0;0;0;0;4;12;2;22;20;2;2;0;0;6;4;0;0;0;2;0;0;10;0;6;4;14;0;0;2;0;0;2;0;0;2;0;6;0;12;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0
update;0;0;0;0;0;0;0;0;0;0;0;14;0;10;0;0;0;0;24;4;0;0;0;0;2;0;0;12;24;0;0;0;0;0;0;12;4;0;0;0;0;0;0;0;0;14;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;0;0;4;2;2;6;2;0;0;0;0;0;0;0;0;0
