kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
state,21,#tnsots,19,covid19,32,covid19,74,testing,59,tennessee,27,tennessee,169
tennessee,19,tennessee,15,tennessee,25,testing,61,#covid19,53,state,22,state,135
give,9,state,15,tennesseans,24,#covid19,51,visit,43,relief,16,testing,133
students,9,@tnpromise,13,#covid19,19,tennessee,46,tennessee,37,businesses,15,covid19,133
year,7,tennesseans,7,watch,17,tennesseans,40,free,35,economic,14,#covid19,132
week,7,health,7,state,17,new,32,state,30,business,13,tennesseans,115
tennesseans,7,address,6,update,14,state,30,health,30,program,12,health,85
tn,6,great,6,health,12,health,30,tennesseans,28,visit,12,new,74
work,6,communities,5,new,11,todays,27,group,27,testing,11,visit,74
proud,6,support,5,across,11,across,27,tennessees,25,tennesseans,9,across,69
grant,6,teachers,5,efforts,11,home,26,guidance,24,#covid19,9,free,63
nation,5,tonight,5,@tndeptofhealth,10,briefing,25,covid19,23,support,7,economic,56
across,5,taking,5,live,10,live,25,95,21,200,7,businesses,55
great,5,proud,5,working,9,bulletin,24,information,21,across,7,tennessees,54
program,5,students,4,spread,9,care,23,new,21,recovery,7,care,52
communities,5,special,4,executive,9,businesses,20,guidelines,19,free,7,todays,52
thank,5,regional,4,todays,9,free,20,thanks,18,local,6,group,52
thanks,5,life,4,recovery,9,economic,19,care,17,@tndeptofrevenue,6,efforts,50
families,5,steps,4,order,9,site,19,unifiedcommand,17,available,6,work,47
education,5,work,4,bulletin,9,near,19,local,17,law,6,live,47
maria,5,safe,4,media,8,work,19,week,17,friday,6,recovery,46
workforce,4,year,4,safe,8,recovery,18,across,16,health,6,briefing,45
looking,4,join,4,briefing,8,order,18,economic,16,proud,6,information,42
highquality,4,care,4,learn,7,group,18,safely,16,group,6,order,41
industrial,4,access,3,visit,7,tennessees,17,efforts,15,million,6,bulletin,41
jobs,4,increase,3,help,7,efforts,17,#tennesseepledge,14,tennessees,6,guidance,40
partnership,4,capitol,3,response,7,safely,16,access,14,week,5,local,40
strong,4,efforts,3,local,7,ct,16,businesses,14,department,5,update,39
programs,4,nations,3,officials,7,tune,16,may,13,monday,5,week,39
volunteer,4,justice,3,public,7,test,16,89,13,new,5,thanks,36
forward,4,deliver,3,states,6,@tndeptofhealth,15,continue,13,states,5,support,35
sacrifice,4,investment,3,support,6,stay,15,doubt,13,safety,5,@tndeptofhealth,33
grateful,4,counties,3,pandemic,6,update,15,recovery,12,thank,5,safely,33
expand,4,single,3,unified,6,facebook,15,full,12,happy,5,home,33
#titanup,4,challenges,3,fight,6,reopening,15,counties,12,28000,5,help,32
