;president;house;health;american;act;trump;americans;senate;families;#familiesfirst;people;#defendourdemocracy;workers;democrats;care;bipartisan;congress;security;response;presidents;america;full;tune;trial;fight;impeachment;#coronavirus;protect;statement;coronavirus;public;et;constitution;admin;capitol;legislation;vote;americas;women;live;mcconnell;ensure;emergency;law;leader;across;government;crisis;funding;protections;work;witnesses;reporters;package;action;trumps;documents;delegation;#forthepeople;testing;#sotu;put;power;support;rights;passed;congressional;watch;stand;tonight;speaking;week;strong;@housedemocrats;continue;clear;commitment;coverup;equal;message;country;working;take;together;national;year;pass;needs;preexisting;family;cannot;join;lives;court;free;new;without;fighting;democratic;managers
president;0;10;16;20;16;38;20;30;8;6;22;36;6;4;12;2;6;6;4;8;6;4;8;22;2;18;0;6;2;0;4;2;18;2;4;0;6;8;4;0;14;6;0;8;12;8;0;0;2;8;2;18;2;2;2;18;18;0;0;2;10;6;8;4;2;0;0;4;4;6;0;4;0;2;0;10;0;14;0;0;2;0;0;0;2;0;0;2;6;0;2;0;2;0;2;4;2;4;4;10
house;0;0;14;14;20;12;12;30;14;12;10;20;6;22;6;12;10;6;6;8;2;6;14;8;6;12;6;8;6;10;12;8;6;4;2;20;16;12;2;2;10;4;10;4;8;4;8;8;8;2;6;2;6;10;14;4;4;2;8;0;2;8;4;8;4;16;2;4;2;2;4;6;10;0;4;0;2;2;2;0;6;6;10;6;2;8;8;2;0;0;2;0;0;8;0;0;4;0;2;6
health;0;0;0;14;8;16;28;8;24;16;10;0;14;10;30;4;2;14;10;6;4;0;8;0;6;0;12;6;2;10;26;4;0;6;0;0;2;8;4;2;0;6;6;4;0;6;2;20;10;6;2;0;2;8;0;0;0;0;2;0;6;2;0;4;0;0;2;2;0;6;0;2;4;4;0;6;2;0;0;6;2;4;2;2;0;0;4;6;6;4;0;4;0;2;2;0;2;2;2;0
american;0;0;0;0;10;14;4;16;18;4;30;6;6;2;2;2;8;6;4;8;0;0;6;10;4;4;10;8;0;0;4;2;4;6;0;4;4;0;0;4;4;4;2;2;2;2;2;4;0;0;2;8;2;2;2;6;6;0;0;0;4;4;4;4;2;0;0;0;2;2;2;4;2;0;6;6;4;8;0;2;4;0;0;2;2;0;2;4;0;0;6;2;6;0;2;0;0;0;0;0
act;0;0;0;0;0;8;12;16;18;24;8;0;6;16;10;10;4;2;10;4;8;2;8;0;4;0;4;2;6;12;6;8;0;2;2;12;12;10;2;4;8;6;4;6;8;8;4;4;2;4;2;0;2;2;12;6;0;0;12;2;2;4;0;8;0;12;0;4;2;4;2;4;2;10;4;2;4;2;2;2;4;0;12;8;8;6;6;4;2;2;0;2;4;2;2;0;4;4;0;0
trump;0;0;0;0;0;0;26;20;10;2;10;16;4;8;8;2;8;10;2;2;4;10;4;10;4;8;6;4;8;0;2;0;2;24;0;0;2;6;0;0;6;0;0;4;2;4;2;2;0;10;0;12;2;0;2;2;16;0;0;0;2;4;2;2;0;0;0;0;2;0;0;2;0;4;4;2;0;8;0;0;2;2;0;0;6;0;0;4;10;0;2;0;2;4;2;2;2;2;0;4
americans;0;0;0;0;0;0;0;6;8;0;12;2;2;8;16;8;4;4;10;10;2;4;6;2;6;0;14;12;2;4;6;0;2;12;0;2;6;2;2;4;4;14;10;4;2;4;8;0;8;12;0;4;4;8;4;0;2;0;4;0;2;2;2;0;4;4;0;2;2;2;2;2;0;6;0;0;2;2;4;0;4;2;0;2;2;4;4;4;12;0;2;6;2;4;4;2;0;2;0;0
senate;0;0;0;0;0;0;0;0;10;6;14;30;4;12;2;8;6;2;2;8;4;2;6;18;0;18;0;6;0;2;2;6;14;0;0;8;10;4;4;0;12;0;2;2;14;0;0;0;0;0;4;18;0;2;8;0;16;0;8;0;0;6;6;2;0;14;2;4;0;0;0;0;2;4;0;4;2;12;2;0;0;2;8;4;0;6;8;2;0;0;4;2;0;0;0;0;2;0;0;10
families;0;0;0;0;0;0;0;0;0;26;6;0;16;6;14;8;4;14;6;2;12;0;2;0;0;0;8;6;4;10;4;4;0;6;0;10;6;14;2;2;2;4;6;0;2;8;0;12;2;4;0;0;2;4;8;2;0;0;2;0;2;8;2;10;2;2;0;2;0;6;2;4;2;2;4;4;4;0;0;2;2;8;12;4;2;0;6;2;2;4;0;2;6;0;2;0;2;0;0;0
#familiesfirst;0;0;0;0;0;0;0;0;0;0;2;0;22;10;8;8;4;12;12;4;4;0;0;0;8;0;6;4;4;22;8;6;0;0;4;10;4;6;0;4;0;4;12;0;0;4;0;14;2;2;4;0;4;6;4;0;0;0;0;10;0;10;0;12;0;0;2;4;0;4;4;4;4;0;2;2;0;0;0;2;2;10;6;4;0;0;6;4;0;4;2;0;4;0;6;0;0;0;0;0
