;#teamkentucky;#covid19;ab;beshear;kentucky;kentuckians;governor;#togetherky;live;information;updated;update;et;watch;commonwealth;facebook;5;together;state;help;thank;gov;shares;new;million;visit;support;share;education;families;children;proud;protect;county;capitol;work;budget;week;please;jobs;todays;safe;care;cases;students;social;media;future;people;tonight;#patriot;honor;grant;important;health;yesterday;positive;#healthyathome;eastern;thanks;take;working;kentuckian;public;good;provide;youtube;beat;communities;green;lost;family;home;@ltgovcoleman;create;full;tips;investment;fund;use;follow;building;commitment;making;community;service;continue;news;schools;team;due;announced;park;awareness;key;funding;morning;medical;andy;teachers
#teamkentucky;0;144;146;34;56;78;40;138;30;12;4;46;38;0;40;26;38;32;12;36;32;4;0;8;30;20;16;8;8;12;14;24;18;10;20;14;0;24;18;10;6;20;18;4;20;18;2;18;6;6;24;14;2;16;12;20;0;18;8;20;12;12;6;0;12;6;0;14;6;10;6;12;10;4;6;10;14;8;10;10;16;4;10;14;4;4;6;2;2;8;12;8;2;4;2;6;6;8;0;4
#covid19;0;0;38;108;32;88;108;136;104;96;80;54;76;62;16;58;58;30;16;24;18;4;48;4;0;38;8;30;2;4;14;4;18;8;2;8;0;2;20;0;22;20;14;24;2;6;28;2;4;10;24;8;0;10;12;14;18;20;0;12;4;6;8;0;8;8;18;20;0;12;16;12;16;0;0;18;10;0;8;10;14;0;4;12;2;0;6;12;2;4;14;8;0;0;2;0;2;6;0;2
ab;0;0;0;2;58;30;12;30;4;8;2;4;2;2;38;0;2;24;12;22;24;0;0;10;20;6;14;6;10;24;10;22;20;12;22;8;0;26;10;12;6;12;10;0;22;12;2;18;8;8;6;18;2;14;16;10;2;6;10;8;8;18;14;4;12;6;0;8;6;14;16;10;8;4;6;0;6;6;4;6;6;6;12;8;10;6;14;2;4;8;2;4;0;8;4;4;12;6;0;2
beshear;0;0;0;0;20;76;138;28;102;82;80;32;54;52;8;54;40;0;10;2;0;52;48;14;10;4;8;36;6;4;2;2;6;4;2;2;6;2;0;2;2;0;4;2;0;0;26;0;2;6;0;0;12;0;4;0;0;0;8;0;0;0;0;2;0;2;14;0;6;2;0;2;0;0;4;4;2;0;2;0;2;0;0;0;6;4;2;2;2;2;0;2;2;4;4;2;2;0;16;0
kentucky;0;0;0;0;0;10;18;16;2;10;2;8;6;0;18;0;8;20;12;6;6;10;0;8;10;14;12;0;14;20;12;16;2;4;20;8;8;14;8;4;6;6;8;8;8;4;0;6;8;6;4;12;0;2;8;6;4;0;16;4;6;6;2;4;6;6;2;2;10;4;4;2;4;2;6;10;4;6;4;0;0;6;8;2;0;4;4;0;6;8;4;4;0;0;0;6;4;2;4;6
kentuckians;0;0;0;0;0;0;66;50;56;36;32;26;56;4;12;54;38;10;14;16;2;10;0;10;4;8;10;36;4;4;2;6;16;2;6;10;4;10;8;0;2;8;4;4;0;0;26;8;8;8;4;2;2;6;8;2;0;2;2;6;6;6;2;0;0;4;12;2;0;2;2;4;6;4;0;0;2;0;6;4;4;2;0;2;4;0;4;0;0;0;6;2;0;2;4;2;0;2;0;0
governor;0;0;0;0;0;0;0;28;102;80;80;28;54;52;6;54;40;2;6;2;0;0;48;6;6;2;6;32;4;4;2;4;0;0;6;4;6;4;0;4;0;0;6;0;0;0;26;0;4;4;0;2;2;0;4;2;0;0;4;0;0;0;2;2;2;2;14;0;2;2;0;2;2;2;4;4;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;4;0;0;0;2;2;2;8;0
#togetherky;0;0;0;0;0;0;0;0;28;10;2;46;42;0;12;28;40;28;4;16;14;0;0;2;0;14;8;4;2;2;12;2;12;0;2;8;0;2;14;0;4;14;10;2;2;6;2;2;4;8;26;8;0;8;6;8;0;18;0;12;4;6;4;0;4;6;0;16;0;8;10;8;10;0;0;12;6;0;4;10;10;0;4;10;0;0;4;0;0;0;10;2;0;0;0;0;2;0;0;2
live;0;0;0;0;0;0;0;0;0;76;76;34;58;56;2;62;42;0;0;0;0;0;48;0;0;2;0;30;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;26;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;14;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
information;0;0;0;0;0;0;0;0;0;0;84;2;28;48;6;28;12;2;2;2;0;2;48;0;0;18;0;30;2;0;0;0;2;0;0;0;0;0;12;0;0;6;2;0;0;2;26;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;4;0;14;2;0;0;0;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0
updated;0;0;0;0;0;0;0;0;0;0;0;0;28;48;4;28;12;0;0;2;0;0;48;0;0;4;0;30;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;26;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;42;8;0;36;44;2;0;2;0;4;0;2;0;2;0;4;0;2;8;0;0;0;0;0;0;0;6;2;12;0;4;0;0;0;0;0;2;0;4;0;2;0;2;0;0;2;2;0;0;0;4;0;0;6;4;0;2;2;2;6;0;0;2;10;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;2;6;0;0;2;0;0;2;0
et;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;58;56;4;0;0;0;0;0;2;0;2;0;32;0;0;6;0;0;2;0;2;0;2;2;0;8;0;4;4;0;0;26;0;2;4;4;0;0;0;0;4;2;2;0;0;2;0;0;0;0;6;14;2;0;0;0;4;2;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;2;0;0;0;48;0;0;12;2;0;2;0;0;0;0;0;0;0;4;0;0;0;14;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0
commonwealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;4;14;2;0;0;4;4;4;0;6;2;4;12;2;4;4;2;4;6;4;4;2;6;2;0;4;0;0;8;2;4;2;2;0;2;2;0;0;2;6;2;0;4;0;2;2;2;0;6;2;0;2;0;2;0;0;2;0;2;2;2;2;0;8;4;0;6;4;2;2;8;4;0;0;2;2;2;4;0;2;2
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;4;0;30;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;26;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;16;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;16;0;0;8;0;0;0;0;0;0;0;0;0;8;0;4;2;0;0;12;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;6;0;0;0;0;4;2;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;0;0;0;0;0;2;0;0;8;6;8;8;2;6;8;0;6;0;0;0;4;2;2;2;2;0;0;2;6;6;6;0;0;0;2;0;10;0;2;4;10;0;0;2;2;0;16;2;4;4;0;2;2;4;2;0;0;0;0;2;0;2;4;0;2;2;0;0;2;2;0;0;2;0;2;4;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;2;4;4;0;4;2;6;2;0;0;6;2;4;2;2;0;2;0;4;6;0;2;0;2;2;4;0;4;0;0;2;2;2;0;2;0;2;0;0;0;0;4;0;2;2;2;2;0;0;4;0;0;2;0;0;2;2;2;0;0;0;0;2;0;2;2;0;0;0;0;4;2;0;2;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;4;4;6;0;4;2;4;0;6;0;2;6;0;4;6;0;0;6;2;0;4;6;0;2;0;0;6;2;0;10;4;4;0;2;0;4;4;4;0;2;2;0;0;0;4;0;0;2;4;0;0;0;8;0;4;0;6;0;2;0;0;4;2;0;2;0;0;0;0;4;0;2;4;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;2;2;6;4;4;2;4;0;0;0;2;4;8;2;0;4;0;0;2;0;0;4;6;0;4;4;4;0;4;0;0;0;4;0;0;2;0;0;6;2;0;2;2;2;0;0;0;2;2;2;0;0;0;6;10;0;12;0;2;0;4;0;0;0;2;0;0;4;0;0;2
gov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;2;4;0;2;2;0;0;6;4;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;10;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;6;2;0;2;2;2;0;2;2;4;4;0;0;0;8;0
shares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;6;6;2;4;6;6;0;0;0;0;0;8;2;2;2;2;0;0;0;0;0;0;0;2;6;0;4;0;4;0;2;0;0;2;2;4;0;2;0;0;6;2;0;2;2;2;8;0;0;0;0;2;0;0;4;0;2;0;2;0;0;0;0;2;2;0;2;4;2;0;4;2
