;covid19;state;wa;washingtonians;stay;health;home;washington;people;watch;work;help;#wegotthiswa;response;#waleg;healthy;thanks;care;new;protect;continue;update;workers;safe;public;working;virus;live;good;grateful;lives;tune;states;@careerconnectwa;take;fight;leaders;together;spread;businesses;2;thank;best;leadership;giving;phase;@paidleavewa;community;across;distancing;communities;climate;support;families;school;country;counties;family;efforts;crisis;hard;schools;steps;another;news;proud;plan;service;testing;great;federal;students;safety;order;county;reopen;resources;president;justice;still;recovery;may;week;ensure;million;beat;measures;full;provide;act;deserve;important;@kpwashington;national;press;@seiu1199nw;taking;action;social;statement
covid19;0;108;46;76;32;48;28;46;18;110;20;36;32;132;4;30;16;20;24;28;18;92;26;26;10;14;24;56;6;28;8;28;28;0;12;18;10;14;30;26;14;8;8;10;42;2;0;8;4;8;10;0;8;12;6;0;6;8;8;10;16;8;20;2;4;8;10;8;16;0;18;2;12;8;8;12;18;2;0;10;12;8;8;12;14;6;18;8;6;6;2;8;0;4;12;0;12;6;10;10
state;0;0;74;52;10;32;10;50;30;50;22;32;32;58;26;12;10;10;12;16;20;42;20;20;6;16;20;16;14;22;10;6;14;10;16;12;18;12;8;8;6;14;8;12;6;4;8;6;32;6;10;12;16;16;4;12;2;6;14;10;14;2;8;4;10;12;2;12;6;6;10;8;6;8;8;10;14;6;14;10;2;6;6;14;10;4;4;0;6;8;6;4;4;12;4;4;4;16;4;4
wa;0;0;0;40;10;24;12;16;24;10;32;36;20;8;32;10;32;12;20;18;24;2;20;16;10;16;4;4;8;16;6;6;18;10;16;18;18;6;8;10;2;8;14;14;6;0;2;8;8;2;6;14;16;8;12;14;0;8;10;16;10;12;10;2;8;12;4;6;6;14;16;18;8;8;8;6;16;8;10;2;8;4;6;14;8;4;6;2;4;10;12;4;2;12;0;2;10;6;4;2
washingtonians;0;0;0;0;32;46;36;12;20;6;34;36;30;14;14;46;20;30;12;36;22;2;16;32;8;22;16;8;10;26;20;2;12;8;12;6;10;20;18;10;4;6;6;12;0;4;4;8;12;6;14;6;14;8;0;8;2;6;20;12;16;0;10;18;4;10;2;10;0;6;18;0;16;6;0;8;10;12;2;4;14;6;4;14;12;10;8;8;10;6;6;14;4;8;0;4;2;6;8;6
stay;0;0;0;0;0;20;116;18;16;4;10;12;62;10;0;84;2;18;6;10;20;4;16;10;0;6;20;0;4;4;12;4;4;2;4;4;2;10;8;4;2;10;10;2;2;2;0;0;2;14;0;0;6;0;2;4;6;2;8;2;4;2;4;2;4;4;4;2;0;2;0;2;2;20;2;6;0;0;0;8;6;12;2;6;0;14;2;4;0;2;4;2;0;4;0;0;2;0;2;2
health;0;0;0;0;0;0;16;6;22;2;18;14;16;10;4;16;10;66;18;18;14;2;36;14;26;10;14;6;14;6;12;4;8;4;6;4;6;10;14;10;4;4;4;4;0;2;2;10;8;4;4;2;8;12;6;4;6;0;6;8;4;4;8;8;6;2;2;2;6;4;4;4;26;0;2;14;14;6;0;4;6;8;6;14;2;2;4;2;10;8;4;8;2;4;0;2;6;2;4;4
home;0;0;0;0;0;0;0;26;20;6;16;14;60;10;0;86;10;12;6;14;22;4;10;4;4;6;14;0;2;6;14;4;2;2;6;6;0;8;8;8;2;16;10;2;2;2;0;0;0;16;0;0;4;2;6;4;4;4;10;4;4;0;4;6;2;10;8;6;0;2;0;4;4;20;2;6;2;0;0;6;6;10;2;4;0;14;2;4;0;0;0;2;0;4;0;0;4;0;2;2
washington;0;0;0;0;0;0;0;0;28;10;10;4;24;14;18;18;2;6;8;2;12;6;4;6;0;12;12;8;8;10;10;4;12;18;4;10;2;12;2;12;0;10;12;4;2;2;20;0;8;4;2;2;4;8;4;6;2;6;4;4;6;0;2;2;8;4;4;2;4;4;4;2;0;6;2;4;8;4;6;4;2;6;2;0;2;8;6;6;6;0;0;2;8;4;4;8;8;6;0;4
people;0;0;0;0;0;0;0;0;0;0;10;12;10;8;24;12;6;10;12;12;14;0;0;18;10;12;6;2;6;6;10;0;12;10;6;12;8;8;12;4;6;4;12;8;4;4;12;6;4;4;2;4;6;4;2;10;6;10;0;6;0;0;4;4;4;4;2;2;0;4;2;0;6;6;0;4;6;2;6;8;4;4;4;2;2;6;2;0;0;0;4;0;8;0;0;8;8;2;2;4
watch;0;0;0;0;0;0;0;0;0;0;0;4;0;88;4;4;2;2;12;0;2;86;4;2;2;2;0;54;0;2;0;48;10;0;0;0;0;0;2;4;0;0;0;0;42;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;6;4;0;0;0;10;0;2;0;2;0;0;4;6;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;26;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;10;10;4;20;10;14;14;2;20;22;0;10;18;6;8;4;2;10;2;8;2;10;10;0;2;14;18;8;8;8;6;12;12;0;6;10;4;8;2;14;2;10;6;6;6;6;2;6;2;12;2;4;4;6;6;4;6;2;14;4;2;4;0;4;2;2;4;2;2;6;2;2;6;4;0;0;2;4;2;6;4;10;6;2;10;0;2;4;2
help;0;0;0;0;0;0;0;0;0;0;0;0;18;12;8;14;10;14;12;24;12;0;8;8;4;6;14;4;6;10;10;2;4;4;8;2;6;2;20;16;2;4;12;8;2;4;2;12;4;0;8;4;12;6;6;4;2;2;6;10;4;2;0;2;6;4;2;10;2;0;6;6;0;0;0;6;10;0;4;4;2;2;4;8;6;10;4;2;8;2;4;10;2;4;0;2;0;2;4;2
#wegotthiswa;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;48;8;14;6;12;8;2;12;6;0;6;14;2;12;10;12;0;2;0;12;8;0;20;8;8;6;6;8;4;2;8;0;4;10;10;4;0;8;4;2;2;8;2;16;12;2;0;2;10;8;10;2;2;2;4;2;0;2;4;2;10;4;0;0;6;6;8;2;8;2;10;4;4;2;0;2;4;0;4;0;0;2;0;4;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;2;0;6;8;10;82;4;8;6;8;2;34;2;8;2;24;16;4;0;0;4;2;0;6;4;2;2;0;36;0;4;0;0;0;2;0;4;2;2;0;6;2;4;2;2;2;0;0;0;2;2;0;2;0;6;0;4;0;2;0;2;0;0;0;2;0;2;0;8;0;2;2;2;2;0;4;4;4;8;4;0;0;0;4
#waleg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;6;8;2;0;6;2;2;6;0;6;10;4;2;2;4;50;8;12;8;8;0;0;0;8;14;6;6;0;50;4;4;0;4;12;6;2;4;4;0;4;2;6;0;0;2;4;6;4;2;2;0;2;0;4;0;0;0;0;4;0;0;0;0;0;4;0;2;0;2;2;0;2;6;2;34;2;0;34;0;4;0;0
