;montana;state;people;future;fighting;continue;communities;lives;justice;hope;montanans;money;nation;history;service;native;women;montanas;respect;school;democracy;tom;family;politics;call;new;elections;towns;federal;hot;truly;difference;thank;businesses;visit;general;honor;dark;leaders;standing;spending;story;citizens;friends;across;link;lisa;community;world;public;work;holds;tragedy;reminds;livingston;past;representative;spent;end;stand;attorney;great;dignity;united;americas;working;dr;america;craft;another;accompanied;corrupted;demand;longtime;5;voice;#mylivingston;founded;feet;serving;tomorrow;happy;mourning;campaign;relentless;correct;cure;saved;hearing;iowans;ask;letting;knows;becomes;participated;follow;mcguane;dedication;colleagues;meaningful
montana;0;2;4;2;2;2;2;0;0;0;2;2;2;0;2;2;0;2;0;2;2;2;0;4;2;2;2;0;0;0;0;2;0;2;2;2;2;2;2;0;2;0;2;2;4;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;2;2;0;2;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
state;0;0;2;0;4;2;2;2;4;0;2;0;2;0;4;0;2;2;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;4;2;2;0;4;0;4;4;0;0;0;2;0;2;0;4;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;2;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0
future;0;0;0;0;2;2;0;2;0;6;2;2;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0
fighting;0;0;0;0;0;0;2;2;4;2;0;2;0;2;2;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;4;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
communities;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
lives;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
hope;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0
