;tennessee;state;relief;businesses;economic;business;program;visit;testing;tennesseans;#covid19;support;200;across;recovery;free;local;@tndeptofrevenue;available;law;friday;health;proud;group;million;tennessees;week;department;monday;new;states;safety;thank;happy;28000;briefing;protests;general;county;todays;traditional;pandemic;people;peaceful;created;june;work;symptoms;care;live;facilities;information;public;covid19;learn;tn;ct;citizens;federal;starts;challenges;heart;efforts;union;facebook;service;access;violence;community;partnership;longterm;facing;funds;guard;volunteer;provide;act;commend;enduring;national;assembly;thanks;serve;interpretation;critical;etasl;property;continue;battle;financial;communities;qualify;commission;yesterday;expressly;disasters;cares;employees;pillars;test
tennessee;0;16;20;16;16;20;20;12;8;2;8;10;12;10;4;2;4;10;4;2;4;4;6;4;12;0;2;4;4;2;2;2;0;4;8;2;2;0;2;2;2;2;4;2;6;2;0;2;2;2;2;2;0;4;6;2;0;2;6;0;2;0;2;4;0;0;2;2;2;4;2;4;4;2;2;4;4;0;2;2;0;2;0;0;0;0;4;0;4;0;4;4;0;4;2;0;4;0;4;0
state;0;0;4;4;8;6;4;0;0;12;0;0;4;6;2;0;0;0;0;6;0;2;6;2;4;0;0;0;0;0;0;4;6;2;2;0;4;2;0;0;0;4;8;4;4;2;4;0;0;2;0;0;6;2;4;4;0;2;0;0;4;4;0;4;0;4;0;2;0;0;0;2;0;4;4;2;2;2;4;4;2;0;4;0;0;0;4;0;0;0;0;2;4;2;2;4;2;2;0;0
relief;0;0;0;16;14;22;20;10;0;0;2;6;12;4;0;0;0;12;0;0;0;0;2;0;12;2;2;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;6;4;0;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;6;4;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;4;0;2;0
businesses;0;0;0;0;14;18;14;8;2;4;4;6;8;4;0;0;0;8;0;0;0;0;2;0;8;2;0;0;0;0;4;2;0;0;10;2;0;0;0;2;0;2;0;0;4;0;2;0;2;0;4;2;0;4;6;0;0;0;4;0;0;0;2;0;0;0;6;0;2;0;2;6;6;0;4;0;0;0;0;0;0;2;0;0;2;0;0;0;4;2;4;4;0;0;0;0;0;2;4;0
economic;0;0;0;0;0;12;10;12;4;4;2;2;8;4;10;2;0;6;0;0;0;2;0;8;8;4;0;0;0;2;0;0;2;0;8;0;0;4;0;0;0;4;0;0;6;0;4;0;0;0;0;2;2;4;4;4;0;0;2;0;4;0;2;0;0;2;0;0;2;2;0;6;2;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;2;2;2;4;0;0;0;0;2;2;2;0
business;0;0;0;0;0;0;20;8;0;2;2;6;12;4;0;0;0;12;0;0;0;0;2;0;12;0;2;0;0;0;4;2;0;0;8;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;4;6;0;0;0;6;0;2;0;0;0;0;0;2;0;2;0;0;4;4;0;4;2;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;4;2;2;0
program;0;0;0;0;0;0;0;8;0;0;2;6;12;4;0;0;0;10;0;0;0;0;2;0;12;0;2;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;4;0;0;0;6;0;2;0;0;0;0;0;2;0;2;0;0;4;6;0;2;2;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;4;0;2;0
visit;0;0;0;0;0;0;0;0;14;0;12;2;4;2;4;12;8;6;10;0;10;8;0;4;4;2;0;8;8;0;0;0;0;0;6;0;0;0;6;0;6;0;0;0;0;2;0;6;0;0;0;8;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;0;4
testing;0;0;0;0;0;0;0;0;0;0;14;2;0;4;4;12;10;0;12;0;12;10;0;4;0;0;0;10;10;2;0;0;0;0;0;2;0;0;8;2;8;0;0;0;0;2;0;8;2;0;2;6;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4
tennesseans;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;4;4;4;2;0;4;0;0;0;2;0;2;0;0;0;0;2;0;0;0;4;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;0;0;2;2;0;2;0;2;0;0;4;0;0;2;0
