;ontario;people;thank;covid19;great;health;working;government;workers;#ontariospirit;businesses;new;work;community;business;together;ontarians;safe;care;happy;continue;jobs;ontarios;home;protect;province;help;support;job;year;family;join;part;everyone;plan;premier;trade;washington;proud;stay;important;hard;across;forward;economic;economy;meeting;visit;action;ford;making;communities;live;million;meet;ensure;@victorfedeli;please;families;@natlgovsassoc;celebrating;relief;local;students;mental;learn;canadian;infrastructure;spread;public;colleagues;morning;times;strong;march;taking;billion;take;partners;toronto;canada;update;dc;friends;week;2020;provide;challenging;contributions;build;federal;healthcare;spoke;trades;healthy;access;find;announced;auto;staff
happy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;4;2;6;2;14;0;4;0;8;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;10;0;4;0;0;4;0;0;0;2;8;2;0;2;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;2;0;0;0;0;10;2;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;8;6;6;4;6;0;2;4;8;4;4;0;4;0;2;2;10;6;2;4;2;8;0;0;0;0;4;2;0;0;6;4;2;0;2;0;0;2;2;0;2;2;0;0;2;0;4;0;0;6;2;2;2;2;4;2;0;0;0;0;0;0;2;0;2;2;2;4;0;2;0;0;2;2;2;4
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;2;6;10;4;0;2;0;0;8;0;8;4;2;0;4;0;2;4;4;12;2;0;2;0;8;0;0;4;2;0;6;0;0;2;2;0;2;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0
ontarios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;0;4;2;0;4;2;0;4;0;6;6;2;2;0;2;0;6;0;4;0;2;2;0;2;2;0;0;6;2;4;0;0;2;0;0;4;0;0;0;2;0;0;2;2;2;0;0;2;0;4;0;2;0;0;0;0;0;2;0;2;0;2;0;2;2;2;0;2;2;2;0;6;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;6;0;4;0;2;2;0;0;6;8;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;2;2;8;0;6;0;0;0;4;0;0;4;6;2;2;0;0;0;0;2;0;0;2;2;2;4;2;0;4;0;0;2;0;0;2;4;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;4;0;4;0;2;0;0;0;0;4;0;4;0;0;0;8;0;6;6;0;0;0;0;2;0;6;0;4;4;0;0;2;0;0;0;4;2;0;8;4;0;2;2;2;4;2;0;8;4;0;4;2;0;0;2;2;0;2;0;0;4;0;2;0;0;0;2;0;0;0
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;4;4;8;0;0;2;0;4;2;2;4;10;2;0;0;2;2;0;0;4;0;2;0;4;0;0;2;2;0;4;0;0;2;0;2;0;0;0;4;2;0;0;2;0;0;0;2;0;0;0;2;0;2;2;2;0;2;6;2;0;4;0;2;2;0;0;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;10;2;2;2;2;0;2;2;0;2;0;2;2;4;4;2;0;0;2;4;4;2;0;2;4;0;0;4;0;0;0;2;0;0;2;0;0;0;2;2;0;0;2;2;2;2;0;2;0;0;0;0;4;0;0;2;0;0;4;2;0;0;2;2;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;2;0;2;4;6;4;4;6;0;2;2;0;2;6;0;2;4;0;2;2;2;0;0;2;4;4;2;0;2;2;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;4;2;2;0;0;0;0;0;2;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;0;2;4;2;2;4;0;0;2;0;2;2;4;4;0;0;0;2;6;2;2;2;2;4;4;0;2;2;2;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;4;4;0;4;0;0;0;0;0;4;8;0;2;0;2;0;2;6;4;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;10;0;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;10;2;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;0;0;2;2;0;0;6;2;2;2;0;4;0;0;0;0;8;4;0;4;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;4;0;4;0;2;0;8;0;0;0;0;2;6;0;0;0;0;0;0;6;2;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;10;0;0;0;0;2;4;4;2;6;0;0;0;0;0;0;2;2;0;4;2;0;6;2;0;0;0;4;0;2;8;0;0;4;2;0;2;2;2;2;0;0;10;0;0;6;2;2;0;0;0;4;2;0;0;0;0;2;2;0;0;0;0
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;14;8;2;2;0;2;4;0;0;2;0;0;0;0;0;4;0;2;2;6;0;0;2;0;0;0;0;0;0;4;2;0;0;2;2;2;2;2;4;0;2;0;0;0;2;2;2;2;0;0;0;0;0;2;2;2;4;0;2;2;4
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;2;4;2;2;2;0;0;2;0;2;0;4;0;0;2;0;0;0;0;4;2;0;2;0;2;0;0;0;2;6;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;4;2;2;2;0;2
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;4;0;0;14;4;2;2;0;0;0;2;0;0;6;0;2;8;0;0;0;2;0;2;0;2;0;0;0;4;0;0;4;0;0;0;0;0;0;0;2;0;4;0;0;6;2;2;4;0;0;0;4;2;0;0
