;great;united;states;president;new;people;government;trump;national;news;state;democrats;washington;real;bill;another;killed;security;man;big;police;china;federal;thank;proud;world;2016;may;post;night;american;agency;men;take;house;investigation;congress;released;obama;job;good;senate;story;20;mike;committee;announced;country;video;international;second;investigating;administration;move;wednesday;shows;place;law;campaign;countries;military;close;americans;decision;following;fbi;capitol;illegal;looking;assigned;general;supporters;emails;department;conspiracy;whether;justice;free;says;court;intelligence;protect;monday;support;help;war;thursday;white;hillary;study;group;republican;women;year;best;dead;election;canadian;friday;media
great;0;2;2;4;6;4;2;2;4;0;6;4;0;0;6;4;0;2;0;2;2;2;2;6;4;2;2;0;2;2;4;2;4;2;2;0;2;0;2;2;2;0;4;0;0;0;0;2;0;2;4;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;2;6;0;0;0;2;0;0;4;2;0;2;0;0;2;0;2
united;0;0;22;8;2;0;2;2;4;2;2;0;2;2;2;2;2;4;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;2;6;0;0;0;0;0;0;0;2;0;2;2;0;2;2;0;0;0;4;0;0;2;2;4;0;0;2;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;4;0;0;2;0;0;2;2;2;0;0;0;0;0;0
states;0;0;0;8;0;0;2;2;4;2;2;0;0;2;2;2;2;4;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;4;0;0;2;0;0;2;2;2;0;0;0;0;0;0
president;0;0;0;0;2;4;2;8;10;6;4;2;2;0;0;4;2;6;0;2;2;2;0;0;0;0;0;2;0;0;2;6;0;2;2;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;2;4;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;4;0;0;0;0;2;0;4;2;4;0;0;0;2;0;0;2;0;2;2;0;0;2;0;2;0;0;0;0;0;0;2
new;0;0;0;0;0;0;2;2;2;4;4;4;4;0;2;2;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;2;2;0;0;2;4;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0
people;0;0;0;0;0;0;0;2;4;0;0;2;2;2;2;0;2;2;0;6;0;2;4;0;2;0;0;0;2;0;6;4;0;2;2;0;0;0;4;2;2;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0
government;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;4;0;2;0;4;2;2;2;4;0;0;2;0;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
trump;0;0;0;0;0;0;0;0;2;4;4;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2
national;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;8;0;2;2;0;2;2;0;0;2;0;0;0;2;8;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;2;2;0;4;0;0;0;0;0;0;2
news;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;2;0;4;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2
