;#covid19;oklahoma;oklahomans;state;update;continue;help;live;together;testing;response;states;ppe;workers;join;oklahomas;plan;across;available;stay;people;hospital;#oklaproud;working;please;health;thank;businesses;great;statewide;take;proud;healthcare;home;resources;safely;data;gaming;remember;provide;april;pandemic;critical;work;facebook;watch;unemployment;symptoms;measures;safety;ensure;communities;surge;unprecedented;supplies;nation;team;program;crisis;protect;@healthyoklahoma;care;visit;proactive;new;fully;part;fellow;continuing;tested;spread;questions;ready;full;thankful;neighbor;due;test;info;sites;may;gas;discuss;phone;committed;call;reopen;@okguard;comprehensive;force;providing;census;beds;vulnerable;next;federal;responders;fund;based;updates
ppe;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;0;8;4;2;0;2;6;2;2;2;8;0;2;0;0;6;4;2;0;0;4;0;0;2;2;4;2;2;2;0;2;0;4;2;6;2;2;2;12;0;0;0;0;2;4;2;2;4;2;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;4;0;0;4;2;6;0;2;2;4;2;14;2;0;0;6;0;2;0;4;4;2;2;0;0;4;2;2;4;4;0;2;2;4;0;0;0;0;4;2;4;2;2;2;0;0;2;2;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;4;0;4;2
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;2;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;4;0;0;16;0;2;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;6;0;0;0;0;0;0;2;0;0;0;2
oklahomas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;2;0;2;0;0;0;6;0;2;2;2;0;0;0;0;0;4;6;2;0;0;0;0;0;2;4;4;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;2;0;2;0;2;2;2;0;0;0;0;2;0;0;2;2;2;0;6;0;0;0;2;0;0;2;0;2;0;0;6;2
plan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;0;4;0;6;0;6;2;2;0;0;0;0;0;8;4;0;0;0;2;2;0;4;2;4;0;0;0;4;2;2;8;0;0;0;2;0;0;0;4;2;0;0;0;2;4;0;2;0;2;0;4;2;2;0;2;0;0;0;0;0;2;2;2;0;8;0;4;2;0;0;2;0;0;2;0;0;4;4
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;12;8;2;2;6;4;2;0;0;10;2;2;2;6;0;0;0;4;0;0;4;4;0;0;0;2;0;4;0;6;0;2;8;0;2;2;4;0;4;2;2;0;0;0;0;2;6;2;0;0;0;0;4;2;0;2;0;2;0;0;4;2;0;0;2;6;0;2;2;0;0;0;0;2;0;0;0;2
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;4;2;2;2;2;6;0;0;0;2;4;0;0;0;0;2;2;4;0;0;0;0;0;6;0;0;4;0;0;2;0;0;0;2;0;0;0;2;4;0;2;0;0;0;2;4;2;2;0;2;0;0;0;6;2;0;0;0;2;0;0;2;0;0;0;2;0;0;4;0;0;4;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;2;2;0;0;2;8;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;0;2;0;4;4;2;6;2;0;4;2;0;0;2;6;2;0;0;0;0;0;2;0;0;0;2;4;0;6;0;4;0;0;2;0;0;0;0;0;2;2;2;2;2;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;4;0;0;0;4;0;0;0;6;2;2;0;2;0;0;0;0;0;2;2;12;0;0;0;2;0;0;4;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;6;0;0;0;0;0;4;2
