;president;new;states;great;trump;united;country;state;world;police;news;york;love;help;american;court;people;department;quest;man;looking;bring;national;administration;federal;came;campaign;second;order;businesses;asked;fake;war;bill;white;bad;house;free;history;thank;senate;secretary;election;best;russian;party;strong;press;republican;act;may;law;fact;thing;article;raiders;protect;officially;support;government;@;big;texas;term;uespwiki;trumps;dangerous;shooting;family;nypd;comes;hard;source;leader;investigating;1995this;revenge;person;reporting;thursday;january;security;wants;supreme;win;left;nations;officers;committee;biggest;ask;times;arrested;confirmed;set;critical;elder;military;justice;another
president;0;6;8;6;6;8;4;6;2;0;2;4;0;0;4;0;6;2;0;0;4;0;8;4;0;4;2;0;0;0;2;2;0;0;4;0;6;2;0;2;0;4;0;2;6;2;0;4;2;0;0;0;0;2;0;0;2;0;2;2;0;4;0;0;0;6;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;6;0;0;0;0;0;0;2;0;0;6;0;2;0;2;0;0;0;0
new;0;0;2;4;2;2;0;4;0;4;0;10;0;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;4;2;0;2;0;4;2;0;2;0;0;0;0;2;0;4;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;0;4;2;0;2;0;0
states;0;0;0;0;2;18;6;6;2;0;0;0;0;0;6;2;2;4;0;0;0;4;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;4;0;2;2;0;0;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;0;2;0;0;4;2;0;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;2;2;0
great;0;0;0;0;6;0;4;0;0;0;4;4;0;2;4;0;2;0;0;0;2;0;2;0;0;2;2;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;0;2;0;2;2;2;4;0;0;0;0;0;2;0;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
trump;0;0;0;0;0;2;2;0;0;0;6;0;0;2;2;0;4;0;0;0;2;0;2;8;0;6;6;0;2;0;0;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;4;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2
united;0;0;0;0;0;0;6;6;2;0;0;0;0;0;2;2;2;4;0;0;0;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;2;0;2;0;2;2;0
country;0;0;0;0;0;0;0;0;6;0;0;0;4;0;4;0;2;0;0;0;0;2;2;2;0;0;0;4;2;2;0;0;4;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;0;0;0;2;0;2
state;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;4;0;2;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2
police;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;8;0;6;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;0;2;0;2;4;0;0;0;0;8;0;0;0;6;0;4;0;4;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;4;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;2;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
