Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
"If you’ve been to Vancouver but never visited the @PunjabiMarket, you’re missing out. Today marks their 50th anniversary, and I’d like to congratulate everyone who played a part in reaching this incredible milestone. I can’t wait to come back and visit you all again! #PM50 https://t.co/YsWHvESqDh",297,2020-05-31 23:02:25,Twitter for iPhone,2498,345,JustinTrudeau,1267229979449966594
"Si vous êtes déjà allé à Vancouver, mais n’avez pas visité le @PunjabiMarket, vous manquez vraiment quelque chose. Il fête aujourd’hui son 50e anniversaire. Mes félicitations à tous ceux qui ont permis de franchir cette étape importante. J’ai hâte de revenir vous voir! #PM50 https://t.co/YsWHvESqDh",299,2020-05-31 23:02:17,Twitter for iPhone,286,39,JustinTrudeau,1267229946172379144
"RT @FilomenaTassi: Are you a student, aged 15-30, looking for a summer job that will match your skills and interest? There are now over 45,…",140,2020-05-31 22:43:03,Twitter for iPhone,0,114,JustinTrudeau,1267225104745992199
RT @FilomenaTassi: Vous êtes un étudiant de 15-30 ans et vous cherchez un emploi d'été correspondant à vos compétences et intérêts? Il exis…,140,2020-05-31 22:43:00,Twitter for iPhone,0,22,JustinTrudeau,1267225093790449671
"RT @BardishKW: While #AsianHeritageMonth may be coming to an end, our discovery of different cultures that exist in 🇨🇦 doesn’t have to. We…",139,2020-05-31 22:34:25,Twitter for iPhone,0,83,JustinTrudeau,1267222930758479872
"RT @BardishKW: Si le #MoisduPatrimoineAsiatique touche à sa fin, ce n'est pas le cas de notre découverte des diverses cultures de notre pay…",140,2020-05-31 22:34:23,Twitter for iPhone,0,31,JustinTrudeau,1267222921799483392
"For decades, Michel Gauthier was a passionate advocate and fierce champion for the people of Roberval–Lac-Saint-Jean and Quebec. My thoughts are with his family, friends, and former colleagues as they mourn his passing.",219,2020-05-31 14:46:23,Twitter for iPhone,1234,126,JustinTrudeau,1267105145638268929
"Michel Gauthier a toujours été un fier représentant du Québec et des gens de Roberval–Lac-Saint-Jean. Mes pensées accompagnent sa famille, ses amis et ses anciens collègues, qui pleurent son départ.",198,2020-05-31 14:46:16,Twitter for iPhone,405,43,JustinTrudeau,1267105116668248065
"Thank you. To those who are working on the front lines and not letting anything stop them, and to those who are volunteering and helping those who need it most, thank you so much. In Montreal and across the country, your efforts are critical. #riennarretelentraide https://t.co/Rg8Rlf1GDa",288,2020-05-30 20:02:44,Twitter for iPhone,2140,283,JustinTrudeau,1266822370527936512
"Merci! À tous ceux qui travaillent au front et qui ne laissent jamais rien les arrêter et à tous les bénévoles qui aident les gens qui en ont le plus besoin : merci infiniment. À Montréal comme ailleurs au pays, vos efforts sont essentiels. #riennarretelentraide https://t.co/Rg8Rlf1GDa",286,2020-05-30 20:02:29,Twitter for iPhone,357,60,JustinTrudeau,1266822308775198725
